"Abilene, TX",10180,2002,4,125.15,( 2.63)
"Abilene, TX",10180,2003,1,123.77,( 2.63)
"Abilene, TX",10180,2003,2,124.93,( 2.56)
"Abilene, TX",10180,2003,3,125.85,( 2.58)
"Abilene, TX",10180,2003,4,124,( 2.78)
"Abilene, TX",10180,2004,1,128.9,( 2.85)
"Abilene, TX",10180,2004,2,129.57,( 2.79)
"Abilene, TX",10180,2004,3,130.7,( 2.87)
"Abilene, TX",10180,2004,4,132.63,( 2.97)
"Abilene, TX",10180,2005,1,134.8,( 3.05)
"Abilene, TX",10180,2005,2,139.37,( 3.11)
"Abilene, TX",10180,2005,3,140.93,( 3.04)
"Abilene, TX",10180,2005,4,142.67,( 3.26)
"Abilene, TX",10180,2006,1,149.25,( 3.29)
"Abilene, TX",10180,2006,2,148.6,( 3.24)
"Abilene, TX",10180,2006,3,154.51,( 3.35)
"Abilene, TX",10180,2006,4,155.99,( 3.47)
"Abilene, TX",10180,2007,1,161.62,( 3.77)
"Abilene, TX",10180,2007,2,163.79,( 3.54)
"Abilene, TX",10180,2007,3,163.7,( 3.56)
"Abilene, TX",10180,2007,4,164.03,( 3.82)
"Abilene, TX",10180,2008,1,165.22,( 3.71)
"Abilene, TX",10180,2008,2,164.78,( 3.74)
"Abilene, TX",10180,2008,3,166.07,( 4.00)
"Abilene, TX",10180,2008,4,174.19,( 4.59)
"Abilene, TX",10180,2009,1,169.49,( 3.81)
"Akron, OH",10420,1975,1,-,-
"Akron, OH",10420,1975,2,-,-
"Akron, OH",10420,1975,3,-,-
"Akron, OH",10420,1975,4,-,-
"Akron, OH",10420,1976,1,-,-
"Akron, OH",10420,1976,2,-,-
"Akron, OH",10420,1976,3,-,-
"Akron, OH",10420,1976,4,40.3,( 1.10)
"Akron, OH",10420,1977,1,40.98,( 1.01)
"Akron, OH",10420,1977,2,42.24,( 0.69)
"Akron, OH",10420,1977,3,44.29,( 0.66)
"Akron, OH",10420,1977,4,44.58,( 0.75)
"Akron, OH",10420,1978,1,47.71,( 0.96)
