Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,110,5047628,45900,36700,764,9.5
Feb,65,3089121,47500,47900,976,12.1
Mar,91,4437576,48800,43900,1036,12.8
Apr,101,4355732,43100,37700,1038,12.4
May,113,5059475,44800,36500,966,11.1
Jun,107,4421083,41300,32500,959,10.9
Jul,129,5536589,42900,40900,978,10.6
Aug,146,6315629,43300,39300,905,9.3
Sep,131,5490661,41900,35600,839,8.2
Oct,130,5073393,39000,29100,805,7.5
Nov,110,5047628,45900,36700,764,7.0
Dec,88,3919486,44500,44300,705,6.4
1991-Jan,87,3351110,38500,39200,700,6.5
Feb,81,2872510,35500,28300,682,6.2
Mar,97,3980856,41000,35000,699,6.4
Apr,100,4195982,42000,36700,697,6.3
May,106,4452229,42000,36700,731,6.7
Jun,107,5852953,54700,47900,710,6.5
Jul,127,6629152,52200,48300,649,5.9
Aug,120,6410971,53400,42500,647,6.0
Sep,105,4502455,42900,36800,632,6.0
Oct,102,4668622,45800,36000,595,5.8
Nov,85,4786383,56300,46900,560,5.6
Dec,67,2836105,42300,41500,515,5.2
1992-Jan,74,3709002,50100,39200,549,5.6
Feb,64,2716236,42400,34000,532,5.5
Mar,98,5549104,56600,44400,545,5.7
Apr,104,4684791,45000,35800,574,5.9
May,91,4539538,49900,39600,599,6.3
Jun,111,6031959,54300,47000,638,6.7
Jul,89,5981309,67200,50500,635,6.9
Aug,96,5818467,60600,55900,630,7.0
Sep,96,5697355,59300,49400,633,7.1
Oct,84,5367600,63900,54000,665,7.5
Nov,83,5396353,65000,50600,647,7.3
Dec,62,4115004,66400,54400,588,6.7
1993-Jan,57,3193110,56000,51900,605,7.0
Feb,71,4184273,58900,46800,583,6.7
Mar,81,4488085,55400,50500,551,6.5
Apr,90,5594455,62200,52200,552,6.6
May,94,5423471,57700,52200,567,6.7
Jun,117,7941198,67900,63800,603,7.1
Jul,93,5963864,64100,57200,582,6.8
Aug,122,8236425,67500,58500,585,6.7
Sep,103,6388002,62000,54300,592,6.7
Oct,75,5211108,69500,59600,601,6.9
Nov,71,4206502,59200,57000,578,6.7
Dec,86,5465690,63600,61200,511,5.8
1994-Jan,60,4200582,70000,64400,522,5.9
Feb,65,4077698,62700,60400,473,5.4
Mar,116,8039916,69300,60600,525,5.8
Apr,91,6044227,66400,60300,559,6.1
May,95,6971122,73400,62500,616,6.8
Jun,102,7225213,70800,65800,654,7.3
Jul,130,9127306,70200,64000,650,7.0
Aug,110,6811468,61900,58500,638,6.9
Sep,112,7000297,62500,54400,623,6.7
Oct,74,4685215,63300,62200,584,6.3
Nov,98,6707792,68400,57300,567,6.0
Dec,76,4528730,59600,48300,526,5.6
1995-Jan,62,3698179,59600,51700,529,5.6
Feb,65,5031357,77400,55000,543,5.8
Mar,88,4960511,56400,45500,521,5.7
Apr,87,5197822,59700,54200,498,5.4
May,102,7048924,69100,58800,503,5.5
Jun,130,9681672,74500,71400,531,5.6
Jul,85,5336635,62800,57700,576,6.3
Aug,113,8078169,71500,65900,552,6.1
Sep,83,5536394,66700,62800,523,5.9
Oct,76,5172418,68100,60000,569,6.4
Nov,74,5014825,67800,57900,531,6.1
Dec,85,6059438,71300,67700,480,5.5
1996-Jan,74,4594908,62100,60900,507,5.7
Feb,70,5249975,75000,61400,489,5.5
Mar,93,6043173,65000,60800,518,5.8
Apr,104,8249801,79300,69000,519,5.7
May,117,7979202,68200,56800,530,5.8
