Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,565,50655684,89700,71700,5050,9.1
Feb,449,39970008,89000,71900,5002,9.0
Mar,435,37503578,86200,73200,5118,9.5
Apr,576,38662088,67100,72700,5204,9.7
May,556,48600290,87400,74400,5391,10.1
Jun,721,65124787,90300,74700,5210,9.6
Jul,710,67672434,95300,73600,5416,9.8
Aug,776,70126813,90400,73700,5407,9.5
Sep,609,53222790,87400,74400,5293,9.3
Oct,637,53489542,84000,69800,4662,8.1
Nov,565,50655684,89700,71700,4600,7.8
Dec,560,51603531,92100,72900,4500,7.5
1991-Jan,456,40452624,88700,72000,4421,7.5
Feb,419,37179808,88700,75300,4463,7.6
Mar,624,52369192,83900,71500,4445,7.4
Apr,645,61049593,94700,76200,4462,7.4
May,812,74604405,91900,74000,4370,7.0
Jun,819,80172402,97900,80200,4342,6.8
Jul,751,76341968,101700,82300,4296,6.7
Aug,653,59621530,91300,76200,4263,6.8
Sep,693,62966982,90900,76000,4089,6.4
Oct,614,56981246,92800,75700,3969,6.3
Nov,619,61201520,98900,77400,3848,6.0
Dec,476,48182392,101200,79800,3540,5.6
1992-Jan,431,40277646,93500,77100,3298,5.2
Feb,443,40761503,92000,79000,3435,5.4
Mar,630,64096396,101700,84500,3600,5.7
Apr,722,68864940,95400,78600,3803,6.0
May,759,73765746,97200,81200,3944,6.2
Jun,839,87646711,104500,85500,3972,6.2
Jul,877,90274605,102900,85000,3962,6.1
Aug,860,98972521,115100,86800,4085,6.2
Sep,866,89124494,102900,82500,3669,5.4
Oct,766,78486214,102500,85000,3570,5.2
Nov,616,80046166,129900,87500,3604,5.2
Dec,694,74932646,108000,86600,3173,4.5
1993-Jan,524,54047909,103100,85300,3201,4.5
Feb,516,53447716,103600,84800,3340,4.6
Mar,737,80827586,109700,88600,3345,4.6
Apr,820,91692610,111800,90800,3380,4.6
May,941,108745694,115600,93800,3444,4.6
Jun,1054,121454865,115200,92900,3600,4.7
Jul,885,105638042,119400,95100,3607,4.7
Aug,1091,128304411,117600,91000,3694,4.7
Sep,887,104008135,117300,90100,3772,4.7
Oct,849,98459925,116000,92600,3775,4.7
Nov,777,95938193,123500,95900,3734,4.6
Dec,845,96535370,114200,93800,3297,4.0
1994-Jan,615,73453653,119400,96100,3414,4.1
Feb,643,78598435,122200,97300,3408,4.0
Mar,1011,117998908,116700,94000,3604,4.2
Apr,961,112618514,117200,93800,4068,4.6
May,1043,119916794,115000,92000,4873,5.5
Jun,1032,128847954,124900,100000,4916,5.5
Jul,1041,125260705,120300,94700,4971,5.5
Aug,1081,132778361,122800,94800,5074,5.6
Sep,872,107544429,123300,99400,4456,5.0
Oct,774,92591410,119600,95900,4434,5.0
Nov,727,89627727,123300,98100,4367,4.9
Dec,771,93348536,121100,96700,4045,4.6
1995-Jan,654,78344302,119800,95200,3906,4.4
Feb,654,78229176,119600,96900,4048,4.6
Mar,906,114410623,126300,101400,4223,4.8
Apr,860,106678578,124000,96800,4433,5.1
May,1086,136826121,126000,101300,4579,5.3
Jun,1198,156278276,130400,103700,4670,5.3
Jul,1155,144178573,124800,98600,4729,5.3
Aug,1277,159680510,125000,99900,4755,5.2
Sep,950,124056856,130600,100700,4734,5.2
Oct,951,116288101,122300,101100,4546,4.9
Nov,928,115302382,124200,103200,4398,4.6
Dec,840,109641545,130500,108200,4206,4.4
1996-Jan,786,106400782,135400,110000,4744,4.9
Feb,893,121628243,136200,114300,5045,5.1
Mar,1092,146422455,134100,108600,5256,5.2
Apr,1088,145295212,133500,110400,5574,5.5
May,1317,172794293,131200,105100,5872,5.6
Jun,1212,167035245,137800,111200,6201,6.0
Jul,1311,175975337,134200,109300,6249,5.9
Aug,1210,150846019,124700,106500,6241,6.0
Sep,901,117925269,130900,104600,6214,6.0
Oct,972,126807221,130500,105300,6216,5.9
Nov,861,114266476,132700,109400,6060,5.8
Dec,954,127045351,133200,110500,5769,5.5
1997-Jan,691,93672522,135600,110200,5807,5.6
Feb,701,91528267,130600,106000,6109,6.0
Mar,915,129308490,141300,109900,6200,6.1
Apr,946,136401466,144200,110500,6400,6.4
May,1154,159345151,138100,113300,6663,6.8
Jun,1233,178986856,145200,113900,6589,6.7
Jul,1286,187268996,145600,115500,6469,6.6
Aug,1233,173811359,141000,111300,6202,6.3
Sep,1106,159863596,144500,113900,5854,5.8
Oct,1136,165156952,145400,117700,5514,5.4
Nov,1004,141160124,140600,113600,5220,5.1
Dec,1034,145694795,140900,110700,5038,4.9
1998-Jan,727,99514540,136900,114700,5123,4.9
Feb,949,132831429,140000,111800,5107,4.8
Mar,1280,185422930,144900,116300,5288,4.8
Apr,1329,195102891,146800,113200,5368,4.8
May,1399,208415268,149000,118200,5413,4.7
Jun,1684,259992944,154400,120600,5340,4.5
Jul,1693,268376924,158500,119100,5121,4.2
Aug,1556,236219504,151800,118400,5003,4.0
Sep,1300,200121539,153900,122400,4944,3.9
Oct,1221,178744176,146400,118600,4634,3.7
Nov,1222,179799724,147100,119300,4319,3.4
Dec,1223,189658829,155100,119400,4057,3.1
1999-Jan,978,148958457,152300,120700,3897,3.0
Feb,1139,172893761,151800,123100,4053,3.0
Mar,1543,234380884,151900,121800,4121,3.0
Apr,1525,239874357,157300,124000,4141,3.0
May,1658,268324886,161800,123300,4164,3.0
Jun,2001,325741473,162800,127800,4337,3.1
Jul,1932,315731780,163400,127000,4318,3.0
Aug,1834,308415492,168200,125300,4116,2.8
Sep,1516,250261115,165100,131700,3875,2.6
Oct,1371,230016401,167800,126800,3683,2.5
Nov,1340,233882690,174500,130800,3471,2.3
Dec,1298,235433978,181400,137400,3204,2.1
2000-Jan,1025,173053635,168800,133700,3084,2.0
Feb,1277,226038438,177000,134000,2989,2.0
Mar,1603,298557656,186200,136700,3042,2.0
Apr,1556,289197960,185900,136900,3192,2.1
May,1980,393073774,198500,144700,3617,2.3
Jun,1885,368290072,195400,148800,3799,2.4
Jul,1818,351539312,193400,149300,3944,2.6
Aug,1880,360255090,191600,146300,3948,2.6
