Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,30,1320600,44000,42000,-,-
Apr,32,1644306,51400,50000,-,-
May,40,2374800,59400,52200,-,-
Jun,31,1581446,51000,52100,-,-
Jul,36,1703728,47300,40000,-,-
Aug,53,2876639,54300,53900,-,-
Sep,26,1461800,56200,48300,-,-
Oct,23,1238400,53800,-,-,-
Nov,-,-,-,-,-,-
Dec,21,1025115,48800,-,-,-
1991-Jan,32,1814425,56700,-,-,-
Feb,21,1287550,61300,-,-,-
Mar,25,1251950,50100,-,-,-
Apr,16,1022208,63900,-,-,-
May,12,715900,59700,-,-,-
Jun,37,2189200,59200,-,-,-
Jul,30,1890000,63000,-,-,-
Aug,31,2132577,68800,-,-,-
Sep,20,1160000,58000,-,-,-
Oct,20,1071400,53600,-,-,-
Nov,8,389000,48600,-,-,-
Dec,3,316000,105300,-,-,-
1992-Jan,22,999658,45400,-,-,-
Feb,15,587142,39100,-,-,-
Mar,175,13042177,74500,-,-,-
Apr,54,1765992,32700,-,-,-
May,25,1396730,55900,-,-,-
Jun,21,1665612,79300,-,-,-
Jul,22,1665612,75700,-,-,-
Aug,53,8969243,169200,-,-,-
Sep,25,1526300,61100,-,-,-
Oct,34,2519700,74100,-,403,10.6
Nov,37,2795313,75500,-,465,11.5
Dec,20,1200000,60000,-,-,-
1993-Jan,18,1121000,62300,-,-,-
Feb,33,1872600,56700,-,-,-
Mar,29,1987900,68500,-,-,-
Apr,34,2738800,80600,-,-,-
May,33,2134450,64700,-,-,-
Jun,39,2713050,69600,-,-,-
Jul,29,2097200,72300,-,-,-
Aug,56,5113398,91300,-,-,-
Sep,19,1296200,68200,-,218,6.9
Oct,12,881000,73400,-,213,7.1
Nov,8,429000,53600,-,212,7.7
Dec,14,938009,67000,-,211,7.8
1994-Jan,9,684500,76100,-,200,7.6
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,14,801350,57200,-,209,9.0
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1995-Jan,12,1356000,113000,75000,259,-
Feb,13,808000,62200,62500,285,-
Mar,17,1039750,61200,58800,273,-
