Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,79,4553666,57600,55000,-,-
Feb,56,3135401,56000,50000,1099,15.3
Mar,84,7111289,84700,60700,1153,15.9
Apr,102,6671517,65400,56000,1181,15.4
May,78,4923073,63100,61500,1659,21.5
Jun,105,8700675,82900,65000,-,-
Jul,127,7959455,62700,62500,1121,13.3
Aug,93,6870628,73900,57300,1143,13.3
Sep,89,7283123,81800,63200,1118,13.1
Oct,86,5611132,65200,58600,976,11.4
Nov,79,4553666,57600,55000,-,-
Dec,65,4970341,76500,53500,971,11.2
1991-Jan,47,2795725,59500,56500,797,9.5
Feb,67,4051474,60500,50500,923,10.8
Mar,80,4985986,62300,52900,961,11.3
Apr,86,5175787,60200,55400,958,11.5
May,97,5816563,60000,55800,992,11.7
Jun,103,7365634,71500,65300,996,11.7
Jul,90,5524649,61400,58800,994,12.1
Aug,104,7875590,75700,66400,1001,12.1
Sep,74,4038226,54600,44500,947,11.6
Oct,73,5308500,72700,59400,896,11.1
Nov,69,4640946,67300,55000,806,10.1
Dec,71,5009767,70600,59400,759,9.5
1992-Jan,64,4102844,64100,57100,848,10.4
Feb,67,5167260,77100,69000,746,9.2
Mar,95,6227441,65600,59100,863,10.4
Apr,88,6060840,68900,61000,862,10.4
May,76,4724744,62200,58800,865,10.7
Jun,119,9191623,77200,62100,870,10.5
Jul,119,9442847,79400,67200,878,10.3
Aug,92,6799128,73900,64100,908,10.8
Sep,86,6695286,77900,67300,889,10.5
Oct,98,6967757,71100,60000,886,10.2
Nov,67,4790155,71500,64500,858,9.9
Dec,83,5017957,60500,57800,826,9.4
1993-Jan,62,3804504,61400,58600,761,8.7
Feb,83,6101459,73500,59100,773,8.7
Mar,81,5732436,70800,56600,808,9.2
Apr,99,7533356,76100,62700,786,8.9
May,110,8566607,77900,66000,786,8.6
Jun,97,7258496,74800,66200,791,8.8
Jul,128,8888522,69400,63100,659,7.3
Aug,118,8998389,76300,66700,759,8.2
Sep,105,7674891,73100,64600,747,7.9
Oct,98,6757385,69000,59500,723,7.7
Nov,86,6390718,74300,64000,709,7.4
Dec,104,8340708,80200,66900,677,6.9
1994-Jan,63,4591052,72900,59600,701,7.2
Feb,72,5010690,69600,61200,686,7.1
Mar,108,8412388,77900,64600,699,7.1
Apr,119,8301388,69800,65300,674,6.7
May,113,8342698,73800,65400,686,6.8
Jun,110,8302652,75500,65300,723,7.1
Jul,116,8910406,76800,66200,716,7.1
Aug,107,7890819,73700,59600,741,7.4
Sep,108,7526692,69700,61500,723,7.2
Oct,82,5969200,72800,69200,713,7.2
Nov,96,7066290,73600,62500,704,7.1
Dec,88,6587991,74900,65700,781,7.9
