Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,25,2342500,93700,77500,783,28.0
Feb,12,615000,51200,40000,702,25.8
Mar,24,1094018,45600,42100,801,29.0
Apr,25,1723750,69000,65000,823,30.8
May,25,2054200,82200,65000,838,31.7
Jun,21,1270500,60500,45000,-,-
Jul,42,2931200,69800,60000,863,32.4
Aug,49,3413000,69700,51200,836,29.9
Sep,20,1871200,93600,75000,811,30.2
Oct,26,1580500,60800,55000,784,30.3
Nov,25,2342500,93700,77500,783,29.8
Dec,25,1206250,48200,41000,-,-
1991-Jan,23,1573400,68400,50000,814,30.8
Feb,21,1439400,68500,45000,771,28.4
Mar,29,2680500,92400,71200,-,-
Apr,50,2934370,58700,38200,-,-
May,32,2965853,92700,40000,-,-
Jun,29,2456992,84700,65000,-,-
Jul,28,2777550,99200,70000,-,-
Aug,37,2949440,79700,65000,654,22.7
Sep,30,2905750,96900,63300,644,21.8
Oct,38,3210130,84500,75000,641,21.0
Nov,28,2279751,81400,64300,608,19.7
Dec,27,1978700,73300,68300,601,19.4
1992-Jan,19,1376900,72500,65000,639,20.8
Feb,20,1616000,80800,70000,646,21.1
Mar,33,2267400,68700,52500,673,21.8
Apr,36,2629525,73000,56000,701,23.6
May,35,2233080,63800,48800,704,23.5
Jun,45,4167700,92600,67500,710,22.7
Jul,52,3623100,69700,56700,694,20.8
Aug,30,3093477,103100,83300,664,20.3
Sep,38,3457484,91000,66700,674,20.2
Oct,38,1890860,49800,42500,657,19.7
Nov,28,1717000,61300,42500,657,19.7
Dec,38,3247001,85400,57500,654,19.0
1993-Jan,26,2401300,92400,70000,618,17.7
Feb,28,2073050,74000,55000,705,19.8
Mar,51,3484500,68300,46900,710,19.1
Apr,36,2971100,82500,63300,706,19.0
May,54,4852050,89900,73300,688,17.8
Jun,55,5588200,101600,82500,668,16.9
Jul,56,4895750,87400,67500,659,16.5
Aug,56,5334690,95300,70000,701,16.7
Sep,51,4914819,96400,65000,655,15.2
Oct,36,3387200,94100,75000,752,17.5
Nov,38,2769500,72900,54300,703,16.1
Dec,42,3183097,75800,61400,752,17.1
1994-Jan,31,2711950,87500,57500,681,15.3
Feb,29,3329040,114800,75000,758,17.0
Mar,59,4036100,68400,54500,841,18.6
Apr,53,3876900,73100,65000,825,17.7
May,66,5287286,80100,70000,796,16.7
Jun,81,7455300,92000,72500,787,15.8
Jul,73,7000250,95900,67000,777,15.2
Aug,65,4916019,75600,59500,670,12.9
Sep,55,4234850,77000,52500,677,12.9
Oct,54,4104634,76000,57500,665,12.4
Nov,48,3732400,77800,65000,647,11.8
Dec,43,3667300,85300,77500,645,11.8
1995-Jan,33,3243655,98300,75000,675,12.3
Feb,36,2975625,82700,64200,678,12.2
Mar,44,3653115,83000,72000,693,12.8
Apr,52,4700475,90400,76000,717,13.2
May,77,7250040,94200,71200,704,12.8
Jun,61,4774165,78300,61700,-,-
Jul,79,7563350,95700,65800,-,-
Aug,84,7470945,88900,72000,655,11.8
Sep,43,3737557,86900,58300,658,12.1
Oct,51,4897000,96000,83000,666,12.3
Nov,42,3132800,74600,68000,633,11.8
Dec,50,5136525,102700,70000,594,10.9
