Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,39,2248140,57600,51700,1502,35.3
Feb,35,2195510,62700,53000,899,20.9
Mar,51,2549506,50000,47000,969,21.7
Apr,48,2595050,54100,-,982,21.5
May,20,1100700,55000,57000,987,22.9
Jun,43,2699292,62800,53000,987,23.3
Jul,39,2725488,69900,49200,987,23.5
Aug,57,4212300,73900,56400,994,23.7
Sep,50,3000000,60000,-,1000,23.3
Oct,46,2193688,47700,38000,1558,35.9
Nov,39,2248140,57600,51700,1502,34.9
Dec,38,2018209,53100,46000,850,20.2
1991-Jan,22,1196000,54400,45000,789,19.4
Feb,30,1600000,53300,-,770,19.1
Mar,50,2345400,46900,44300,761,18.9
Apr,37,1525050,41200,33800,834,21.2
May,70,3808750,54400,50000,836,19.3
Jun,47,2991153,63600,59200,800,18.3
Jul,38,1973460,51900,44000,840,19.2
Aug,38,1973460,51900,44000,1463,34.8
Sep,45,2300000,51100,-,1400,33.6
Oct,40,2200000,55000,-,900,21.9
Nov,35,1800000,51400,-,800,19.6
Dec,35,1900000,54300,-,700,17.2
1992-Jan,35,2041905,58300,48800,672,16.1
Feb,45,2130650,47300,34200,691,16.1
Mar,51,2626620,51500,39200,701,16.3
Apr,53,2548250,48100,45800,712,16.1
May,50,2870400,57400,53300,725,17.0
Jun,66,3547328,53700,46700,731,16.5
Jul,53,3344913,63100,63100,712,15.6
Aug,44,2735320,62200,48600,712,15.5
Sep,48,2945820,61400,50000,701,15.2
Oct,43,2367550,55100,51200,658,14.2
Nov,37,2111296,57100,54200,672,14.4
Dec,30,1496207,49900,43300,658,14.2
1993-Jan,28,1566162,55900,46000,667,14.6
Feb,30,1967300,65600,56700,716,16.1
Mar,49,2677650,54600,38800,695,15.7
Apr,52,3372750,64900,54000,1493,33.8
May,59,3335339,56500,53800,1420,31.6
Jun,58,3870900,66700,62500,1425,32.2
Jul,67,4432381,66200,60400,723,15.9
Aug,51,3411850,66900,58800,652,14.2
Sep,65,3497700,53800,47300,652,13.8
Oct,42,1848950,44000,38200,651,13.8
Nov,52,2778752,53400,46900,1121,23.1
Dec,50,3276792,65500,61500,564,11.2
1994-Jan,47,2412400,51300,49300,1062,20.5
Feb,31,1879650,60600,49000,1105,21.3
Mar,51,2951144,57900,47000,1091,20.9
Apr,65,4066285,62600,55500,1130,21.3
May,53,3075750,58000,48500,1144,21.7
Jun,69,4070885,59000,46800,1086,20.3
Jul,64,4010600,62700,58000,1074,20.1
Aug,61,4041300,66300,57900,1077,19.9
Sep,50,3344800,66900,53300,1078,20.4
Oct,41,1963178,47900,39000,1084,20.5
Nov,48,2666550,55600,48600,1097,20.9
Dec,40,2080775,52000,50000,-,-
1995-Jan,23,1107271,48100,43800,1023,20.6
Feb,49,3210500,65500,63000,1077,21.0
Mar,47,3028825,64400,60600,1059,20.8
Apr,66,4073806,61700,56700,1102,21.6
May,63,3800884,60300,49400,1235,23.9
Jun,59,3559822,60300,54400,1184,23.3
Jul,65,3928250,60400,50600,1205,23.6
Aug,73,5399350,74000,66500,1182,22.7
Sep,85,5564172,65500,50800,1176,21.4
Oct,87,5588075,64200,56500,1181,20.1
Nov,58,4349313,75000,59200,1170,19.6
Dec,54,4175656,77300,57800,1076,17.7
1996-Jan,44,3171819,72100,58000,1054,16.9
Feb,32,1637200,51200,51700,1075,17.6
Mar,64,3999660,62500,61000,1037,16.6
Apr,53,3623037,68400,59300,1059,17.2
May,70,5216137,74500,60000,1059,17.1
Jun,68,4765210,70100,55500,1084,17.3
Jul,66,4988900,75600,62200,1061,16.9
Aug,58,4428630,76400,63300,531,8.6
Sep,59,3749160,63500,57900,529,8.9
Oct,61,4328285,71000,59000,562,9.8
Nov,52,3522320,67700,54300,523,9.2
Dec,36,2241623,62300,65000,1103,20.0
1997-Jan,46,3040922,66100,55000,540,9.7
Feb,69,5115246,74100,65000,601,10.3
Mar,54,4403538,81500,70000,599,10.4
Apr,61,3675487,60300,59200,533,9.1
May,68,5881312,86500,73800,568,9.8
Jun,74,5623190,76000,60000,578,9.9
Jul,83,5959840,71800,67100,588,9.8
Aug,82,5965327,72700,62500,569,9.2
Sep,58,4726897,81500,73800,519,8.4
Oct,75,5216025,69500,59400,505,8.0
Nov,62,3924751,63300,54300,502,7.8
Dec,68,5610272,82500,70000,453,6.8
1998-Jan,46,4607870,100200,78000,437,6.6
Feb,53,3995670,75400,65800,505,7.7
Mar,66,5286666,80100,67500,492,7.4
Apr,61,4254262,69700,59200,510,7.7
May,68,6457476,95000,86400,517,7.8
Jun,94,7516513,80000,70000,550,8.1
Jul,95,7342474,77300,67900,537,7.8
Aug,104,9359430,90000,82200,542,7.7
Sep,81,7196621,88800,76200,518,7.1
Oct,87,6730060,77400,63900,-,-
Nov,54,4442363,82300,73800,-,-
Dec,81,6326520,78100,68100,-,-
1999-Jan,59,5015404,85000,73000,-,-
Feb,54,7602550,140800,93300,-,-
Mar,81,6747152,83300,73800,501,6.5
