Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,75,4229026,56400,50400,1129,15.1
Feb,60,3000618,50000,48300,1091,14.5
Mar,82,4044285,49300,42500,1123,14.5
Apr,79,4087353,51700,47500,1153,14.8
May,90,4488668,49900,42900,1148,14.7
Jun,92,5635083,61300,49400,1216,15.7
Jul,76,3742748,49200,45600,1231,15.8
Aug,72,3884261,53900,52000,1239,16.2
Sep,80,4543995,56800,50000,1165,15.0
Oct,102,5119715,50200,44500,1143,14.8
Nov,75,4229026,56400,50400,1129,14.5
Dec,73,3956552,54200,43900,1111,13.9
1991-Jan,46,2877964,62600,45800,1016,13.2
Feb,58,3228444,55700,50900,1039,13.5
Mar,77,4940298,64200,55600,1050,13.7
Apr,102,5976136,58600,46400,1024,13.0
May,92,5452194,59300,48900,1034,13.1
Jun,88,5364496,61000,48200,1039,13.2
Jul,116,6442495,55500,50000,1000,12.2
Aug,106,5819845,54900,48200,985,11.6
Sep,65,3534115,54400,51100,924,11.1
Oct,77,4380494,56900,48800,869,10.7
Nov,69,3549272,51400,52700,816,10.1
Dec,66,4006785,60700,53300,763,9.5
1992-Jan,58,3571788,61600,47900,784,9.7
Feb,58,3114459,53700,48300,799,9.8
Mar,93,5279774,56800,53200,774,9.4
Apr,111,6354804,57300,52800,779,9.4
May,122,6634906,54400,52400,804,9.4
Jun,108,6060014,56100,47700,829,9.5
Jul,106,6019307,56800,52000,838,9.7
Aug,123,7149195,58100,48100,840,9.5
Sep,114,6224340,54600,53300,807,8.8
Oct,127,7996922,63000,56100,750,7.8
Nov,94,4892214,52000,47200,698,7.1
Dec,102,5968829,58500,50000,636,6.3
1993-Jan,70,4062204,58000,51700,695,6.8
Feb,74,4476325,60500,56400,732,7.1
Mar,133,8940581,67200,49700,711,6.6
Apr,124,7470056,60200,51200,766,7.1
May,112,7431903,66400,56000,772,7.2
Jun,179,10614371,59300,57500,787,7.0
Jul,140,8688529,62100,57200,767,6.6
Aug,130,8395405,64600,57100,807,6.9
Sep,135,7308975,54100,50900,774,6.5
Oct,149,9471221,63600,56100,771,6.4
Nov,103,6300472,61200,59500,750,6.2
Dec,104,5876411,56500,49400,658,5.4
1994-Jan,114,6469963,56800,45500,701,5.6
Feb,110,6620155,60200,59000,685,5.4
Mar,126,8961011,71100,62000,682,5.4
Apr,132,8042562,60900,53900,686,5.4
May,152,10214422,67200,55600,705,5.4
Jun,118,8561999,72600,64300,679,5.4
Jul,123,8735824,71000,66200,723,5.8
Aug,130,8226133,63300,52800,713,5.7
Sep,119,7363650,61900,54200,734,6.0
Oct,99,6406720,64700,60300,729,6.1
Nov,77,5238526,68000,53800,698,6.0
Dec,85,5369560,63200,56600,644,5.6
1995-Jan,136,7555857,55600,53200,655,5.6
Feb,93,5905281,63500,57300,652,5.6
Mar,110,7136796,64900,59200,630,5.5
Apr,106,6831060,64400,57500,650,5.8
May,118,7888811,66900,62900,665,6.1
Jun,149,11257054,75600,61700,660,5.9
Jul,140,10617682,75800,61700,653,5.8
Aug,134,9474116,70700,67800,618,5.4
Sep,127,9424564,74200,69600,636,5.6
Oct,96,6505344,67800,60800,630,5.5
Nov,82,5846927,71300,70000,596,5.2
Dec,90,6208518,69000,55700,540,4.7
1996-Jan,67,4386075,65500,61200,575,5.3
Feb,83,5327059,64200,57100,592,5.5
Mar,104,6538790,62900,55500,614,5.7
Apr,110,7496387,68100,59400,659,6.1
May,138,9418830,68300,57900,689,6.3
Jun,110,8870938,80600,64000,708,6.6
Jul,113,7442475,65900,56800,719,6.9
Aug,156,10602451,68000,58700,724,6.8
Sep,127,9498044,74800,63100,735,6.9
Oct,86,6278612,73000,65800,681,6.5
Nov,92,7210777,78400,68000,679,6.4
Dec,99,7466000,75400,69500,618,5.8
1997-Jan,61,3975000,65200,58800,641,6.0
Feb,70,5955000,85100,72200,670,6.4
Mar,87,5680000,65300,62100,674,6.5
Apr,101,6420000,63600,61700,701,6.8
May,126,10635000,84400,70000,729,7.1
Jun,98,7460000,76100,70000,735,7.3
Jul,117,8475000,72400,63700,729,7.2
Aug,109,8920000,81800,77200,730,7.5
Sep,99,7530000,76100,66800,709,7.4
