Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,135,8238450,61000,60700,1716,12.6
Feb,84,4734595,56400,56200,2356,17.5
Mar,161,9659664,60000,56000,1980,14.6
Apr,144,8035268,55800,52500,1956,14.2
May,170,9713221,57100,52600,1971,13.7
Jun,171,12104827,70800,60400,1943,13.5
Jul,147,9095801,61900,58800,1970,13.5
Aug,180,11148527,61900,57500,1903,13.0
Sep,125,7549179,60400,54200,1815,12.6
Oct,142,7306416,51500,55700,1735,12.1
Nov,135,8238450,61000,60700,1716,12.0
Dec,119,6875540,57800,51700,1716,12.0
1991-Jan,85,5362514,63100,59000,1636,11.8
Feb,92,5328700,57900,56800,1665,12.0
Mar,139,8534410,61400,58200,1655,12.0
Apr,133,7961229,59900,54300,1947,14.3
May,170,9141548,53800,51400,1665,12.2
Jun,164,10223442,62300,57000,1617,11.9
Jul,129,7478613,58000,57000,1873,13.9
Aug,164,10880185,66300,58800,1812,13.6
Sep,160,9483513,59300,56400,1717,12.6
Oct,141,8524938,60500,53100,1361,10.0
Nov,137,7730235,56400,50400,1270,9.3
Dec,117,7207920,61600,60300,1197,8.8
1992-Jan,88,5161728,58700,56700,1180,8.7
Feb,87,5499009,63200,55800,1260,9.3
Mar,157,10678077,68000,57600,1222,8.9
Apr,146,8886918,60900,55400,1209,8.7
May,155,9806140,63300,59800,1177,8.6
Jun,208,12771398,61400,60500,1193,8.5
Jul,156,9025449,57900,59100,1189,8.3
Aug,157,9997225,63700,60400,1145,8.0
Sep,186,10095531,54300,55100,1125,7.8
Oct,175,11178149,63900,58800,1082,7.3
Nov,129,8396506,65100,59500,1027,7.0
Dec,188,11347872,60400,56500,948,6.2
1993-Jan,101,6477632,64100,60400,926,6.0
Feb,131,8609841,65700,57400,897,5.7
Mar,152,10233020,67300,60000,907,5.8
Apr,166,11514510,69400,63300,925,5.8
May,167,10863863,65100,63000,956,6.0
Jun,215,14322240,66600,64400,969,6.0
Jul,202,12868523,63700,63900,968,5.9
Aug,166,11100300,66900,66500,981,6.0
Sep,190,12500634,65800,63300,902,5.5
Oct,166,12851738,77400,65000,887,5.4
Nov,149,11191096,75100,65800,902,5.4
Dec,196,13520617,69000,65600,813,4.9
1994-Jan,95,6868111,72300,58600,813,4.9
Feb,124,9555365,77100,67800,840,5.1
Mar,172,12463548,72500,65600,836,5.0
Apr,174,12755536,73300,68900,921,5.5
May,181,14011382,77400,65000,912,5.4
Jun,170,12776075,75200,62800,976,5.9
Jul,181,13127844,72500,62900,971,5.9
Aug,213,15879746,74600,63700,964,5.8
Sep,180,11378573,63200,66400,983,5.9
Oct,179,12425827,69400,65200,947,5.6
Nov,130,9320531,71700,63600,902,5.4
Dec,166,11770347,70900,61300,901,5.5
1995-Jan,90,7002971,77800,68500,899,5.5
Feb,123,9204927,74800,65800,838,5.1
Mar,173,13723054,79300,68800,861,5.3
Apr,169,12640858,74800,71400,883,5.4
May,187,15383530,82300,72400,895,5.5
Jun,191,17405257,91100,76300,844,5.1
Jul,188,15092828,80300,74400,946,5.7
Aug,221,18709088,84700,68900,960,5.8
Sep,159,12738182,80100,72000,978,5.9
Oct,155,12791228,82500,68500,935,5.7
Nov,161,12338835,76600,66600,904,5.5
Dec,183,14273785,78000,70800,842,5.1
1996-Jan,111,9179700,82700,66100,835,5.0
Feb,127,10796367,85000,70500,857,5.1
Mar,189,17955000,95000,77900,851,5.0
Apr,164,12777554,77900,69500,911,5.4
May,173,14343776,82900,74700,890,5.3
Jun,184,16652368,90500,80000,968,5.8
Jul,197,16034404,81400,71400,1030,6.1
Aug,165,14325822,86800,81200,1047,6.4
Sep,144,11200000,77800,69300,1082,6.6
Oct,163,13743156,84300,78300,1052,6.4
Nov,163,13873173,85100,79600,1085,6.6
Dec,155,13087551,84400,68200,1104,6.8
1997-Jan,97,8180000,84300,73500,1135,7.1
Feb,131,11770000,89800,77100,1105,6.9
Mar,162,14855000,91700,75000,1113,7.0
Apr,194,15175000,78200,70000,1122,7.0
May,168,14405000,85700,75000,1174,7.3
Jun,187,17340000,92700,76800,1237,7.7
Jul,202,18340000,90800,77800,1234,7.7
Aug,193,17235000,89300,79800,1214,7.4
Sep,207,20300000,98100,85200,1178,7.0
Oct,204,17100000,83800,72900,1160,6.7
Nov,141,12085000,85700,69700,1106,6.5
Dec,132,13260000,100500,83200,1015,6.0
1998-Jan,104,8570000,82400,75600,1010,6.0
Feb,143,12335000,86300,72800,965,5.7
Mar,195,17480000,89600,82100,960,5.6
Apr,198,18745000,94700,79000,950,5.5
May,177,15960000,90200,82200,1024,5.9
Jun,204,19620000,96200,85800,1052,6.0
Jul,229,21295000,93000,80300,1083,6.1
Aug,195,17450000,89500,71600,1040,5.9
Sep,270,29390000,108900,103800,1026,5.6
Oct,196,17555000,89600,78300,-,-
Nov,167,13790000,82600,76500,969,5.3
Dec,157,13545000,86300,79700,906,4.9
1999-Jan,117,10915000,93300,85600,890,4.8
Feb,156,13750000,88100,75000,839,4.5
Mar,213,19600000,92000,79000,812,4.3
Apr,211,18975000,89900,77700,866,4.5
May,179,15750000,88000,73800,903,4.7
Jun,234,24965000,106700,91300,969,5.0
Jul,213,21400000,100500,85400,1021,5.3
Aug,167,17105000,102400,78800,1048,5.5
Sep,171,17220000,100700,83900,1019,5.6
Oct,220,19920000,90500,71500,1022,5.6
Nov,166,16540000,99600,91400,963,5.2
Dec,174,17295000,99400,83600,899,4.9
2000-Jan,102,8860000,86900,80000,972,5.3
Feb,147,13875000,94400,78300,937,5.1
Mar,201,17930000,89200,74800,995,5.5
Apr,176,16955000,96300,87700,985,5.5
May,198,19420000,98100,81100,1020,5.6
Jun,206,20035000,97300,84100,1055,5.9
Jul,190,20430000,107500,94300,1193,6.8
Aug,242,25995000,107400,95300,1208,6.6
Sep,158,16000000,101300,91000,1248,6.9
Oct,165,16810000,101900,89000,1191,6.7
Nov,133,13955000,104900,87300,1174,6.7
Dec,158,15800000,100000,88300,1092,6.3
2001-Jan,134,14445000,107800,89000,1087,6.2
Feb,157,15345000,97700,87100,1037,5.9
Mar,187,19260000,103000,86300,1030,5.9
Apr,199,21740000,109200,93200,1055,6.0
May,225,22225000,98800,88300,1064,5.9
Jun,242,25135000,103900,91200,1092,6.0
Jul,210,25000000,119000,97100,1141,6.2
Aug,259,29150000,112500,93900,1144,6.2
Sep,183,19035000,104000,87600,1137,6.1
Oct,211,22530000,106800,88400,1137,5.9
Nov,170,18875000,111000,90000,1137,5.8
Dec,166,18270000,110100,96000,1072,5.5
2002-Jan,146,14955000,102400,83300,1071,5.5
Feb,182,18440000,101300,86400,1090,5.5
Mar,200,20235000,101200,85300,1046,5.2
Apr,209,21345000,102100,89100,1106,5.5
May,198,21420000,108200,95600,1140,5.8
Jun,220,25025000,113800,97700,1191,6.1
Jul,213,23185000,108800,99600,1266,6.4
Aug,193,21345000,110600,93900,1256,6.6
Sep,186,22045000,118500,95800,1214,6.4
Oct,176,21245000,120700,91900,1242,6.6
Nov,173,19605000,113300,95000,1249,6.6
Dec,153,14150000,92500,79600,1205,6.4
2003-Jan,165,14985000,90800,79600,1205,6.4
Feb,176,17255000,98000,86700,1173,6.2
Mar,203,22330000,110000,95500,1293,6.9
Apr,220,23455000,106600,88900,1279,6.7
May,264,28375000,107500,98300,1360,7.0
Jun,260,30990000,119200,108900,1382,7.0
Jul,296,32085000,108400,93500,1412,6.9
Aug,288,35820000,124400,107400,1422,6.7
Sep,287,30035000,104700,91900,1406,6.3
Oct,238,26325000,110600,95600,1387,6.1
Nov,212,23395000,110400,95000,1349,5.9
Dec,219,22975000,104900,90900,1242,5.3
2004-Jan,181,20110000,111100,90400,1215,5.1
Feb,227,23885000,105200,94500,1219,5.1
Mar,248,27265000,109900,93500,1186,4.8
Apr,274,30270000,110500,95500,1196,4.8
May,289,32160000,111300,94400,1199,4.8
Jun,322,38385000,119200,99600,1248,4.9
Jul,320,39300000,122800,106100,1250,4.8
Aug,263,30490000,115900,98400,1246,4.9
Sep,266,30635000,115200,89700,1241,4.9
Oct,210,24165000,115100,98000,1196,4.7
Nov,228,24865000,109100,97700,1154,4.5
Dec,229,29985000,130900,105500,1090,4.3
2005-Jan,218,24070000,110400,93900,1072,4.2
Feb,238,29525000,124100,108300,1079,4.2
Mar,268,33065000,123400,109200,1023,3.9
Apr,284,33030000,116300,97700,1082,4.1
May,312,40885000,131000,112700,1132,4.3
Jun,340,46910000,138000,117000,1156,4.4
Jul,314,37715000,120100,107200,1221,4.6
Aug,317,42500000,134100,112600,1224,4.6
Sep,309,41940000,135700,111800,1201,4.4
Oct,67,7225000,107800,87000,-,-
