Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,37,2099546,56700,53000,454,11.5
Feb,23,1205600,52400,51700,489,12.6
Mar,28,1376335,49200,45700,534,13.8
Apr,37,2029522,54900,39200,513,13.4
May,37,2084636,56300,58300,554,14.3
Jun,33,1702518,51600,49200,531,14.0
Jul,38,2209010,58100,55000,541,14.0
Aug,48,2755060,57400,45800,522,13.4
Sep,25,1245569,49800,43000,521,14.3
Oct,53,2853633,53800,55000,483,13.1
Nov,37,2099546,56700,53000,454,12.1
Dec,39,2087430,53500,50700,411,11.3
1991-Jan,17,1153243,67800,42500,423,12.2
Feb,31,1461238,47100,48300,405,11.5
Mar,35,2019129,57700,58300,439,12.3
Apr,37,1724685,46600,45000,445,12.4
May,36,2156900,59900,55000,444,12.4
Jun,56,3445975,61500,48900,426,11.3
Jul,44,2452806,55700,55000,448,11.7
Aug,68,3775995,55500,50000,454,11.4
Sep,31,1503582,48500,39500,444,11.0
Oct,29,1617780,55800,57500,429,11.2
Nov,23,1420100,61700,61000,439,11.8
Dec,37,2240677,60600,57900,391,10.6
1992-Jan,35,2209331,63100,60600,384,10.0
Feb,44,3107387,70600,63000,399,10.1
Mar,51,3314429,65000,56700,391,9.6
Apr,40,1867400,46700,44200,379,9.2
May,43,2543771,59200,55600,395,9.5
Jun,53,3173851,59900,58100,380,9.2
Jul,44,2301400,52300,51200,368,8.9
Aug,77,4640384,60300,61400,348,8.2
Sep,42,2580276,61400,58000,369,8.5
Oct,54,3292780,61000,54000,367,8.1
Nov,36,2823468,78400,62000,325,7.0
Dec,56,3242792,57900,56200,299,6.2
1993-Jan,36,2340278,65000,62900,320,6.7
Feb,44,2373900,54000,45000,312,6.5
Mar,41,2181415,53200,47500,330,7.0
Apr,39,2151260,55200,48100,321,6.8
May,44,2600615,59100,54000,318,6.7
Jun,50,3348711,67000,58800,329,7.0
Jul,63,4429700,70300,65000,365,7.5
Aug,65,4352306,67000,58300,329,6.9
Sep,63,4044027,64200,61500,348,7.1
Oct,43,3352450,78000,61200,329,6.8
Nov,36,2134715,59300,56700,352,7.3
Dec,56,3766200,67300,60000,317,6.6
1994-Jan,46,3301525,71800,60000,318,6.5
Feb,38,2599400,68400,60000,349,7.2
Mar,53,3127120,59000,54500,330,6.6
Apr,67,5022831,75000,55000,335,6.4
May,54,4410103,81700,71100,335,6.3
Jun,57,3766637,66100,64600,347,6.5
Jul,50,3564260,71300,70000,366,7.0
Aug,53,3735892,70500,72500,360,7.0
Sep,68,4475361,65800,56000,347,6.7
Oct,75,4914372,65500,65000,351,6.5
Nov,40,2700000,67500,-,350,6.4
Dec,43,2886900,67100,59300,346,6.4
1995-Jan,49,2700150,55100,50500,336,6.2
Feb,42,2845130,67700,60000,345,6.4
Mar,62,4469200,72100,61100,375,6.8
Apr,37,2629175,71100,61700,403,7.7
May,33,2354137,71300,63000,409,8.1
Jun,84,5906086,70300,62100,386,7.3
Jul,56,4150550,74100,60000,395,7.4
Aug,49,3507517,71600,57500,424,8.0
Sep,57,4540581,79700,69400,396,7.6
Oct,79,5441450,68900,68600,392,7.5
Nov,54,3838645,71100,60000,413,7.7
Dec,52,3168676,60900,54300,410,7.5
1996-Jan,55,3636223,66100,65000,257,4.7
Feb,50,3686961,73700,70000,422,7.6
Mar,47,3368967,71700,63100,251,4.6
Apr,73,5842455,80000,67200,399,6.9
May,60,4667550,77800,75000,384,6.4
Jun,50,4331422,86600,68800,412,7.2
Jul,53,3884100,73300,62100,407,7.2
Aug,62,4318850,69700,61100,405,7.0
Sep,51,3602076,70600,63800,422,7.4
Oct,47,3690000,78500,77900,435,8.0
Nov,36,2270000,63100,64400,435,8.2
Dec,47,3645000,77600,59300,435,8.3
1997-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1998-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1999-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2000-Jan,-,-,-,-,-,-
