Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
Nov,143,15235000,106500,92100,1006,6.7
Dec,131,13145000,100300,87500,924,6.2
2002-Jan,101,10910000,108000,82100,990,6.6
Feb,145,14800000,102100,79600,1005,6.6
Mar,150,15165000,101100,85600,1025,6.8
Apr,192,21395000,111400,87000,1009,6.6
May,215,23355000,108600,91900,1009,6.5
Jun,187,21560000,115300,99600,1018,6.4
Jul,174,18110000,104100,97000,1034,6.6
Aug,185,21650000,117000,98300,1020,6.5
Sep,160,18835000,117700,94100,995,6.2
Oct,176,17500000,99400,81500,1016,6.2
Nov,122,12490000,102400,92700,1003,6.2
Dec,120,13835000,115300,88000,997,6.2
2003-Jan,111,10680000,96200,83100,1044,6.5
Feb,151,16190000,107200,93200,1040,6.4
Mar,153,17860000,116700,89000,1094,6.7
Apr,167,20020000,119900,91600,1129,7.1
May,193,20225000,104800,87800,1164,7.4
Jun,173,20700000,119700,100400,1159,7.4
Jul,204,24140000,118300,101000,1159,7.3
Aug,205,25170000,122800,103200,1159,7.2
Sep,199,23290000,117000,101400,1173,7.1
Oct,185,20930000,113100,95000,1160,7.0
Nov,141,15105000,107100,86100,1159,6.9
Dec,181,27165000,150100,116300,1118,6.5
2004-Jan,105,12160000,115800,99400,1068,6.2
Feb,170,22880000,134600,112000,1048,6.1
Mar,186,23960000,128800,97400,1138,6.5
Apr,186,22375000,120300,103700,1181,6.7
May,180,22195000,123300,103100,1209,6.9
Jun,216,27460000,127100,106000,1226,6.8
Jul,199,23120000,116200,100300,1207,6.7
Aug,232,27990000,120600,103200,1275,7.0
Sep,167,20840000,124800,97000,1296,7.2
Oct,154,16940000,110000,90000,1268,7.2
Nov,171,20500000,119900,92900,1237,6.9
Dec,153,17650000,115400,95400,1253,7.1
2005-Jan,127,15330000,120700,97700,1240,7.0
Feb,167,20115000,120400,106200,1232,6.9
Mar,196,22125000,112900,90900,1286,7.2
Apr,177,19555000,110500,93000,1317,7.4
May,225,29250000,130000,103300,1331,7.3
Jun,185,24955000,134900,111200,1417,7.9
Jul,173,20665000,119500,105800,1409,7.9
Aug,228,28945000,127000,104800,1399,7.9
Sep,114,15290000,134100,116700,1232,7.1
Oct,86,12405000,144200,120000,1078,6.5
Nov,213,27065000,127100,109700,940,5.5
Dec,168,20715000,123300,106700,856,5.0
2006-Jan,159,19050000,119800,98300,825,4.7
Feb,176,22570000,128200,116900,767,4.4
Mar,218,27095000,124300,105800,804,4.5
Apr,199,24620000,123700,108600,850,4.8
May,188,25445000,135300,117100,839,4.8
Jun,205,28960000,141300,121400,922,5.2
Jul,192,28090000,146300,122000,1028,5.7
Aug,235,31025000,132000,109700,1042,5.8
Sep,228,32465000,142400,124000,1030,5.5
Oct,183,26110000,142700,123900,1009,5.1
Nov,178,23395000,131400,122500,1436,7.4
Dec,184,26505000,144000,124800,970,5.0
2007-Jan,139,19200000,138100,119400,1001,5.2
Feb,179,26235000,146600,122200,947,4.9
Mar,250,35980000,143900,122100,1008,5.1
Apr,204,28040000,137500,117800,1007,5.1
May,270,41715000,154500,137200,1103,5.4
Jun,231,35875000,155300,131700,1184,5.7
Jul,233,35065000,150500,128900,1307,6.2
Aug,256,38555000,150600,130900,1299,6.1
Sep,194,27960000,144100,133300,1305,6.3
Oct,185,26265000,142000,112400,1299,6.2
Nov,176,24825000,141100,119100,1258,6.0
Dec,174,25340000,145600,123500,1249,6.0
2008-Jan,122,18145000,148700,134300,1321,6.4
Feb,153,21225000,138700,120600,1322,6.5
Mar,178,25915000,145600,121100,1388,7.0
Apr,210,29975000,142700,126700,1411,7.1
May,211,30935000,146600,127600,1425,7.4
Jun,215,30505000,141900,127700,1488,7.7
Jul,239,38825000,162400,138600,1512,7.8
Aug,190,28220000,148500,121900,1429,7.6
Sep,83,13010000,156700,135500,1369,7.7
Oct,178,28240000,158700,139000,1370,7.7
Nov,153,23125000,151100,134400,1260,7.2
Dec,175,23065000,131800,128100,1208,6.9
2009-Jan,129,19020000,147400,126000,1261,7.2
Feb,139,21040000,151400,132800,1293,7.4
Mar,183,26200000,143200,137400,1345,7.7
Apr,175,24135000,137900,131200,1376,8.0
