Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,54,2878207,53300,50000,667,11.1
Feb,48,2503640,52200,51800,736,12.1
Mar,63,3754512,59600,53100,720,11.8
Apr,63,3457225,54900,47100,757,12.3
May,61,3448095,56500,49200,748,12.1
Jun,77,4716715,61300,46200,782,12.5
Jul,60,3330449,55500,46400,720,11.5
Aug,75,4463889,59500,55800,703,11.3
Sep,63,3323740,52800,50900,691,10.9
Oct,61,3110699,51000,46100,668,10.6
Nov,54,2878207,53300,50000,667,10.7
Dec,38,2311456,60800,57100,616,10.3
1991-Jan,31,2297528,74100,59400,635,11.0
Feb,31,2016968,65100,65000,627,11.1
Mar,74,4521539,61100,52700,639,11.1
Apr,70,4215169,60200,55000,648,11.2
May,80,4771448,59600,58500,665,11.2
Jun,74,4288507,58000,55000,662,11.2
Jul,53,3406822,64300,61200,699,11.9
Aug,103,5941366,57700,51400,661,10.8
Sep,70,4491382,64200,55500,663,10.8
Oct,49,2827547,57700,54200,631,10.4
Nov,54,3261000,60400,55000,616,10.2
Dec,62,3396869,54800,51900,555,8.9
1992-Jan,59,3612643,61200,54500,569,8.8
Feb,56,3364133,60100,58100,550,8.2
Mar,75,4133841,55100,47300,568,8.5
Apr,79,4467341,56500,51900,550,8.1
May,98,5869251,59900,55600,574,8.3
Jun,103,5842333,56700,47500,585,8.2
Jul,85,4930330,58000,58100,597,8.0
Aug,103,6893797,66900,62400,567,7.6
Sep,85,5284910,62200,58300,540,7.1
Oct,76,4078048,53700,45300,483,6.2
Nov,67,4869641,72700,58500,458,5.8
Dec,69,4247550,61600,45500,423,5.3
1993-Jan,54,2943620,54500,51400,432,5.5
Feb,58,3411964,58800,52500,453,5.7
Mar,69,4097934,59400,54200,494,6.3
Apr,76,4364704,57400,52200,507,6.5
May,90,5709018,63400,60000,540,6.9
Jun,100,6847032,68500,62900,491,6.3
Jul,110,7195890,65400,61500,514,6.4
Aug,107,6952225,65000,59100,513,6.4
Sep,86,5129742,59600,61300,520,6.5
Oct,81,4935625,60900,56400,524,6.5
Nov,72,5122081,71100,60900,503,6.2
Dec,74,5276681,71300,60000,461,5.7
1994-Jan,47,3675000,78200,65800,473,5.9
Feb,55,3960325,72000,62100,467,5.8
Mar,67,4335000,64700,58800,483,6.0
Apr,86,4872255,56700,53300,518,6.4
May,83,5197962,62600,56200,529,6.6
Jun,86,6569300,76400,62000,529,6.7
Jul,102,7038531,69000,61900,528,6.7
Aug,100,6692621,66900,62700,552,7.1
Sep,90,6930500,77000,63300,551,7.0
Oct,75,4900407,65300,63500,558,7.1
Nov,80,5512993,68900,59000,544,6.9
Dec,76,4972748,65400,54300,500,6.3
