"city","state","msa_fips","fips","year","total","tourism","growth","percent_tourism","percent_growth","fips_st","fips_place","latitude","longitude"
"Cape Coral","FL","16180",16180,2006,3013,414,378,13.74,12.55,12,10275,26.637675,-81.997185
"Cape Coral","FL","16180",16180,2004,2526,375,255,14.85,10.1,12,10275,26.637675,-81.997185
"Cape Coral","FL","16180",16180,2002,2161,296,207,13.7,9.58,12,10275,26.637675,-81.997185
"Cape Coral","FL","16180",16180,2003,2300,317,235,13.78,10.22,12,10275,26.637675,-81.997185
"Carson City","NV","16220",16220,2003,3681,158,539,4.29,14.64,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2003,3681,158,539,4.29,14.64,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2004,4198,181,602,4.31,14.34,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2004,4198,181,602,4.31,14.34,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2002,3174,144,515,4.54,16.23,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2002,3174,144,515,4.54,16.23,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2006,5678,221,701,3.89,12.35,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2006,5678,221,701,3.89,12.35,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2005,5067,195,640,3.85,12.63,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2005,5067,195,640,3.85,12.63,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2001,3069,131,423,4.27,13.78,32,9700,39.148328,-119.743243
"Carson City","NV","16220",16220,2001,3069,131,423,4.27,13.78,32,9700,39.148328,-119.743243
"Casper","WY","16300",16300,2006,11093,586,1523,5.28,13.73,56,13150,42.8326,-106.32934
"Casper","WY","16300",16300,2004,10363,532,1651,5.13,15.93,56,13150,42.8326,-106.32934
"Casper","WY","16300",16300,2001,9163,439,1556,4.79,16.98,56,13150,42.8326,-106.32934
"Casper","WY","16300",16300,2002,9120,462,1583,5.07,17.36,56,13150,42.8326,-106.32934
"Casper","WY","16300",16300,2003,9806,483,1646,4.93,16.79,56,13150,42.8326,-106.32934
"Casper","WY","16300",16300,2005,10853,548,1795,5.05,16.54,56,13150,42.8326,-106.32934
"Cedar Rapids","IA","16580",16580,2002,6239,430,901,6.89,14.44,19,12000,41.972967,-91.669578
"Cedar Rapids","IA","16580",16580,2006,7269,499,1137,6.86,15.64,19,12000,41.972967,-91.669578
"Cedar Rapids","IA","16580",16580,2004,6937,481,927,6.93,13.36,19,12000,41.972967,-91.669578
"Cedar Rapids","IA","16580",16580,2001,5972,400,924,6.7,15.47,19,12000,41.972967,-91.669578
"Cedar Rapids","IA","16580",16580,2003,7384,460,946,6.23,12.81,19,12000,41.972967,-91.669578
"Cedar Rapids","IA","16580",16580,2005,6940,504,1083,7.26,15.61,19,12000,41.972967,-91.669578
"Champaign","IL","16620",16620,2006,13092,338,616,2.58,4.71,17,12385,40.113,-88.264949
"Champaign","IL","16620",16620,2002,10977,296,1185,2.7,10.8,17,12385,40.113,-88.264949
"Champaign","IL","16620",16620,2001,10519,277,1038,2.63,9.87,17,12385,40.113,-88.264949
"Champaign","IL","16620",16620,2005,12420,647,563,5.21,4.53,17,12385,40.113,-88.264949
"Champaign","IL","16620",16620,2003,11244,310,0,2.76,0,17,12385,40.113,-88.264949
"Champaign","IL","16620",16620,2004,11913,314,515,2.64,4.32,17,12385,40.113,-88.264949
"Charleston","SC","16740",16740,2003,90711,4433,12640,4.89,13.93,45,13330,32.78525,-79.994024
"Charleston","SC","16740",16740,2004,94361,4815,13694,5.1,14.51,45,13330,32.78525,-79.994024
"Charleston","SC","16740",16740,2005,103877,5284,14973,5.09,14.41,45,13330,32.78525,-79.994024
