Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,-,-,-,-,-,-,-,-,5.4,2.4,0.3
30000 - 39999,-,-,-,-,-,-,-,-,1.5,0.8,1.1
40000 - 49999,-,-,-,-,-,-,-,-,2.3,1.4,1.0
50000 - 59999,-,-,-,-,-,-,-,-,3.2,1.6,0.8
60000 - 69999,-,-,-,-,-,-,-,-,3.7,2.4,2.0
70000 - 79999,-,-,-,-,-,-,-,-,4.6,2.8,2.2
80000 - 89999,-,-,-,-,-,-,-,-,6.3,4.5,2.3
90000 - 99999,-,-,-,-,-,-,-,-,6.1,3.9,3.5
100000 - 119999,-,-,-,-,-,-,-,-,9.6,8.5,6.6
120000 - 139999,-,-,-,-,-,-,-,-,12.4,10.3,11.0
140000 - 159999,-,-,-,-,-,-,-,-,10.3,12.5,11.9
160000 - 179999,-,-,-,-,-,-,-,-,6.8,9.6,11.3
180000 - 199999,-,-,-,-,-,-,-,-,6.2,7.1,10.9
200000 - 249999,-,-,-,-,-,-,-,-,8.8,11.3,12.3
250000 - 299999,-,-,-,-,-,-,-,-,6.1,8.6,9.1
300000 - 399999,-,-,-,-,-,-,-,-,5.2,8.8,9.2
400000 - 499999,-,-,-,-,-,-,-,-,0.6,2.0,3.3
500000 and more,-,-,-,-,-,-,-,-,0.9,1.5,1.1
