Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,0.4,0.5,0.3,0.4,0.2,0.1,0.1,0.1,0.1,0.2,0.7
30000 - 39999,1.7,1.8,1.3,0.7,0.7,0.5,0.6,0.4,0.5,1.5,2.5
40000 - 49999,3.9,2.6,2.5,1.0,0.8,1.3,0.9,1.0,1.9,2.8,4.4
50000 - 59999,9.2,6.4,4.3,1.3,1.7,1.9,2.4,1.9,2.4,5.5,6.7
60000 - 69999,15.0,10.7,8.7,4.1,3.9,3.2,3.4,3.7,4.5,4.8,7.4
70000 - 79999,19.7,15.8,13.2,9.3,6.0,5.6,5.9,6.2,5.7,8.4,7.5
80000 - 89999,15.3,18.8,15.9,12.1,10.1,9.6,9.8,9.5,9.9,9.6,10.2
90000 - 99999,10.2,13.5,16.0,16.5,14.2,12.7,12.7,13.0,12.0,9.4,9.3
100000 - 119999,10.9,13.6,17.2,26.7,26.8,28.5,28.1,25.8,23.7,20.2,17.1
120000 - 139999,4.8,7.0,8.3,12.5,15.5,16.7,16.1,17.3,16.1,14.6,12.1
140000 - 159999,3.1,3.1,4.1,5.8,7.5,6.9,7.3,8.1,7.8,7.5,6.3
160000 - 179999,2.1,2.0,2.4,4.1,4.8,4.3,4.7,3.8,4.1,4.1,5.0
180000 - 199999,1.1,1.3,1.8,1.6,2.0,3.1,2.7,2.0,2.7,2.1,2.4
200000 - 249999,1.8,2.0,1.7,2.2,3.0,3.4,2.9,4.1,3.9,4.2,4.2
250000 - 299999,0.4,0.6,1.5,1.0,1.7,1.5,1.1,1.8,2.0,1.9,1.3
300000 - 399999,0.3,0.2,0.6,0.6,0.9,0.8,0.8,0.8,1.8,2.0,1.8
400000 - 499999,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.3,0.6,0.8,0.9
500000 and more,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.1
