Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,7.5,7.9,6.5,6.5,8.6,7.7,7.0,5.7,3.9,5.0,4.5
30000 - 39999,6.0,6.1,5.3,4.1,4.6,3.9,3.3,2.3,2.1,2.1,2.1
40000 - 49999,8.9,7.2,5.0,5.0,4.7,4.9,3.8,3.8,2.5,2.5,2.1
50000 - 59999,10.0,9.3,7.9,7.1,6.5,6.1,6.3,5.2,4.1,3.6,3.5
60000 - 69999,9.7,9.7,10.6,10.1,9.4,7.2,7.3,7.1,5.4,4.7,3.3
70000 - 79999,9.1,9.1,9.4,9.5,8.9,8.4,7.7,8.0,6.8,5.0,5.5
80000 - 89999,10.6,8.9,9.5,10.1,7.0,8.2,8.0,8.0,8.2,7.0,6.2
90000 - 99999,6.9,8.0,7.0,6.8,7.1,7.1,6.5,7.4,6.9,6.3,5.9
100000 - 119999,9.2,11.0,10.1,10.6,10.8,10.7,12.0,11.6,12.4,10.1,10.9
120000 - 139999,6.4,6.1,8.5,8.7,9.1,8.5,9.7,10.1,12.5,12.2,12.0
140000 - 159999,4.5,5.9,6.0,6.2,6.6,7.4,6.8,7.4,8.7,9.0,9.5
160000 - 179999,3.0,3.5,3.1,3.8,4.6,5.2,5.3,6.1,5.3,7.1,8.3
180000 - 199999,1.8,1.8,3.1,2.3,2.8,3.5,3.0,4.0,5.5,5.6,5.9
200000 - 249999,3.2,2.8,3.8,4.4,3.8,4.7,5.2,5.5,6.9,7.9,8.8
250000 - 299999,1.9,1.1,2.0,2.4,2.5,3.1,4.2,3.7,4.5,5.3,5.8
300000 - 399999,0.8,1.2,1.1,1.2,1.9,1.7,2.0,2.7,2.8,4.0,3.7
400000 - 499999,0.4,0.2,0.9,0.8,0.6,0.7,0.7,0.7,0.7,1.2,1.1
500000 and more,0.2,0.3,0.3,0.4,0.5,1.1,1.1,0.6,0.7,1.3,0.9
