Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,-,-,-,-,10.7,8.7,9.1,6.1,10.4,6.6,7.6
30000 - 39999,-,-,-,-,7.0,5.5,4.4,4.2,3.7,4.8,5.0
40000 - 49999,-,-,-,-,7.3,6.9,3.9,5.3,4.2,3.5,4.1
50000 - 59999,-,-,-,-,8.9,7.6,7.3,7.0,5.1,5.5,5.3
60000 - 69999,-,-,-,-,8.9,8.4,8.9,8.3,8.6,7.3,6.4
70000 - 79999,-,-,-,-,8.5,10.6,8.8,8.8,8.4,7.7,5.8
80000 - 89999,-,-,-,-,8.2,8.5,9.4,7.6,8.9,6.9,9.5
90000 - 99999,-,-,-,-,4.9,7.0,7.5,6.0,5.7,6.7,6.2
100000 - 119999,-,-,-,-,8.8,8.4,10.1,10.0,7.5,10.7,9.3
120000 - 139999,-,-,-,-,10.1,10.9,9.6,8.9,9.3,8.4,10.6
140000 - 159999,-,-,-,-,4.6,5.6,6.3,10.0,8.8,9.4,8.9
160000 - 179999,-,-,-,-,4.1,3.3,4.6,5.3,5.8,6.4,6.9
180000 - 199999,-,-,-,-,2.3,2.2,2.7,3.4,4.2,4.1,3.2
200000 - 249999,-,-,-,-,2.0,3.1,3.9,5.2,4.7,5.8,4.6
250000 - 299999,-,-,-,-,1.4,1.2,1.6,1.8,2.4,2.2,4.2
300000 - 399999,-,-,-,-,1.8,1.4,1.3,1.0,1.8,3.3,1.9
400000 - 499999,-,-,-,-,0.4,0.3,0.4,0.4,0.4,0.3,0.1
500000 and more,-,-,-,-,0.2,0.2,0.3,0.7,0.2,0.4,0.4
