"fips_st","state","owner_occ","total","per_owner","year"
10,"DE",3048,3844,79.2924037460978,2002
10,"DE",3279,4202,78.034269395526,2003
10,"DE",3318,4200,79,2004
10,"DE",2555,3259,78.3982816814974,2005
10,"DE",2638,3290,80.1823708206687,2006
10,"DE",2662,3357,79.2969913613345,2007
12,"FL",6196,8279,74.8399565164875,2000
12,"FL",18613,24772,75.1372517358308,2001
12,"FL",17207,22576,76.2181077250177,2002
12,"FL",19458,25485,76.35079458505,2003
12,"FL",20027,25964,77.1337236173163,2004
12,"FL",57840,75687,76.4199928653534,2005
12,"FL",58468,76842,76.0885973816402,2006
12,"FL",59116,77483,76.2954454525509,2007
13,"GA",2612,3583,72.8998046329891,2000
13,"GA",8567,11570,74.0449438202247,2001
13,"GA",7786,10381,75.0024082458337,2002
13,"GA",8975,11956,75.066912010706,2003
13,"GA",8756,11573,75.658861142314,2004
13,"GA",25787,35012,73.6518907803039,2005
13,"GA",26073,35660,73.1155356141335,2006
13,"GA",26798,36224,73.9785777385159,2007
15,"HI",618,1011,61.1275964391691,2000
15,"HI",2563,4185,61.2425328554361,2001
15,"HI",2337,3708,63.0258899676375,2002
15,"HI",2492,3934,63.3451957295374,2003
15,"HI",2603,4031,64.5745472587447,2004
15,"HI",2930,4459,65.709800403678,2005
15,"HI",2924,4483,65.2241802364488,2006
15,"HI",2996,4557,65.7450076804916,2007
19,"IA",1504,2011,74.7886623570363,2000
19,"IA",6866,8841,77.6608980884515,2001
19,"IA",6083,7811,77.8773524516707,2002
19,"IA",6692,8560,78.177570093458,2003
19,"IA",6728,8534,78.8375908132177,2004
19,"IA",9959,12553,79.3356169839879,2005
19,"IA",10042,12604,79.6731196445573,2006
19,"IA",10169,12691,80.1276495154046,2007
16,"ID",734,967,75.904860392968,2000
16,"ID",2824,3612,78.1838316722038,2001
16,"ID",2702,3359,80.4406073236082,2002
16,"ID",2914,3702,78.7142085359265,2003
16,"ID",2915,3769,77.3414698859114,2004
16,"ID",4292,5505,77.9654859218892,2005
16,"ID",4358,5637,77.3106262196204,2006
16,"ID",4487,5762,77.8722665741062,2007
17,"IL",4370,6033,72.43494115697,2000
17,"IL",13504,18384,73.455178416014,2001
17,"IL",12414,16799,73.8972557890351,2002
17,"IL",13751,18384,74.7987380330722,2003
17,"IL",13781,18268,75.4379242391066,2004
17,"IL",37654,48957,76.9123925077108,2005
17,"IL",37717,49237,76.6029611877247,2006
17,"IL",38057,49637,76.6706287648327,2007
18,"IN",2373,3126,75.911708253359,2000
18,"IN",7343,9802,74.9132830034687,2001
18,"IN",6642,8708,76.2746899402848,2002
18,"IN",7404,9687,76.4323319913286,2003
18,"IN",7757,10092,76.862861672612,2004
18,"IN",19982,25792,77.473635235732,2005
18,"IN",19935,25816,77.219553765107,2006
18,"IN",20071,26065,77.003644734318,2007
20,"KS",1581,2139,73.9130434782609,2000
20,"KS",4970,6776,73.3471074380165,2001
20,"KS",4617,6162,74.9269717624148,2002
20,"KS",4957,6657,74.4629713083972,2003
20,"KS",5069,6758,75.0073986386505,2004
20,"KS",8673,11279,76.8951148151432,2005
20,"KS",8664,11341,76.3953795961555,2006
20,"KS",8757,11362,77.0726984685795,2007
21,"KY",1898,2541,74.6950019677292,2000
21,"KY",7747,10180,76.1001964636542,2001
21,"KY",7072,9246,76.4871295695436,2002
21,"KY",7795,10239,76.1304814923332,2003
21,"KY",7552,9961,75.8156811565104,2004
21,"KY",13317,17455,76.2933256946434,2005
21,"KY",13305,17486,76.0894429829578,2006
21,"KY",13389,17597,76.0868329828948,2007
22,"LA",1818,2549,71.3220870929776,2000
22,"LA",6217,8756,71.0027409776153,2001
22,"LA",5546,7653,72.468313079838,2002
22,"LA",6284,8490,74.0164899882214,2003
22,"LA",6081,8361,72.7305346250449,2004
22,"LA",13310,17767,74.9141667135701,2005
22,"LA",12001,16074,74.6609431379868,2006
22,"LA",12398,16640,74.5072115384615,2007
25,"MA",2233,3338,66.8963451168364,2000
25,"MA",6886,10170,67.708947885939,2001
25,"MA",6215,8952,69.4258266309205,2002
25,"MA",7015,9971,70.3540266773644,2003
25,"MA",7091,10004,70.8816473410636,2004
25,"MA",18093,25467,71.0448816114972,2005
25,"MA",17983,25413,70.7629953173573,2006
25,"MA",18158,25481,71.2609395235666,2007
24,"MD",1927,2684,71.795827123696,2000
24,"MD",6837,9344,73.169948630137,2001
24,"MD",6248,8337,74.9430250689696,2002
24,"MD",7028,9322,75.3915468783523,2003
24,"MD",7052,9231,76.3947567977467,2004
24,"MD",16406,21651,75.774791002725,2005
24,"MD",16371,21709,75.4111198120595,2006
24,"MD",16514,21795,75.7696719431062,2007
23,"ME",765,1006,76.0437375745527,2000
23,"ME",2696,3648,73.9035087719298,2001
23,"ME",2527,3343,75.5907867185163,2002
23,"ME",2846,3801,74.8750328860826,2003
23,"ME",2800,3671,76.2734949605012,2004
23,"ME",4227,5358,78.8913773796193,2005
23,"ME",4202,5289,79.4479107581774,2006
23,"ME",4276,5313,80.4818370035761,2007
26,"MI",3984,5139,77.5248102743724,2000
26,"MI",12537,16147,77.6429058029355,2001
26,"MI",11589,14686,78.9118888737573,2002
26,"MI",12819,16205,79.1052144399877,2003
26,"MI",12863,16169,79.5534665099882,2004
26,"MI",33045,40563,81.4658679091783,2005
26,"MI",32765,40242,81.4199095472392,2006
26,"MI",32670,40176,81.3172043010753,2007
27,"MN",2206,2794,78.9549033643522,2000
