"year","quarter","statefips","countyfips","type","total","vac","nostat","vac_days","nostat_days"
2006,1,"04","027","1",67983,1392,7662,117622,889397
2006,1,"05","001","1",9640,445,735,54064,92361
2006,1,"05","003","1",10141,392,715,52211,94899
2006,1,"05","005","1",23020,390,1967,49643,242575
2006,1,"05","007","1",88259,794,8619,92624,997831
2006,1,"05","009","1",17326,416,1386,46851,175053
2006,1,"05","011","1",5250,214,344,25620,42297
2006,1,"05","013","1",1250,0,162,0,20067
2006,1,"05","015","1",13555,138,1214,16789,144424
2006,1,"05","017","1",6440,482,552,59016,66214
2006,1,"05","019","1",11643,329,729,42528,92447
2006,1,"05","021","1",8234,515,484,60821,56202
2006,1,"05","023","1",14450,42,1594,5660,193411
2006,1,"05","025","1",3073,0,275,0,33758
2006,1,"05","027","1",11875,377,968,49750,111168
2006,1,"05","029","1",10031,322,696,41210,86448
2006,1,"05","031","1",40654,1123,2440,126029,293081
2006,1,"05","033","1",24157,386,1785,39278,209818
2006,1,"05","035","1",22840,876,1220,106856,136702
2006,1,"05","037","1",7572,138,400,18385,51744
2006,1,"05","039","1",3622,125,327,14908,39750
2006,1,"05","041","1",6556,430,457,48025,55835
2006,1,"05","043","1",8902,207,709,26842,88789
2006,1,"05","045","1",43882,393,2333,51993,266219
2006,1,"05","047","1",7236,82,1012,8574,127366
2006,1,"05","049","1",5191,0,1437,0,187462
2006,1,"05","051","1",53067,2560,3138,328405,401718
2006,1,"05","053","1",7621,14,748,1804,89662
2006,1,"05","055","1",19026,371,1102,43134,139227
2006,1,"05","057","1",10746,188,1004,19012,124867
2006,1,"05","059","1",14711,553,1136,67402,145872
2006,1,"05","061","1",6043,80,541,9602,65351
2006,1,"05","063","1",16240,192,938,24977,117809
2006,1,"05","065","1",4070,0,667,0,80443
2006,1,"05","067","1",7110,329,642,33847,79675
2006,1,"05","069","1",37151,2489,1431,320437,183456
2006,1,"05","071","1",10470,169,2122,20568,282314
2006,1,"05","073","1",3408,178,355,24817,46268
2006,1,"05","075","1",7789,327,693,42252,88704
2006,1,"05","077","1",4371,272,258,35044,31191
2006,1,"05","079","1",6068,8,2348,1120,306462
2006,1,"05","081","1",5482,93,445,11522,51145
2006,1,"05","083","1",10109,192,1040,21431,131789
2006,1,"05","085","1",25565,317,1781,40617,209909
2006,1,"05","087","1",5424,0,1426,0,188193
2006,1,"05","089","1",7124,0,1217,0,155684
2006,1,"05","091","1",22602,801,3640,102471,485281
2006,1,"05","093","1",20866,1989,1265,269586,165682
2006,1,"05","095","1",4464,201,445,27292,56209
2006,1,"05","097","1",3010,0,523,0,57612
2006,1,"05","099","1",4741,147,1041,19404,139902
2006,1,"05","101","1",3140,0,416,0,54299
2006,1,"05","103","1",13450,862,766,108663,95539
2006,1,"05","105","1",3750,0,511,0,60647
2006,1,"05","107","1",9888,905,558,120502,71464
2006,1,"05","109","1",3523,0,491,0,55565
2006,1,"05","111","1",10779,293,967,34313,121388
2006,1,"05","113","1",9656,216,1026,28093,127512
2006,1,"05","115","1",27901,336,2197,45411,270687
2006,1,"05","117","1",3783,0,1856,0,255577
2006,1,"05","119","1",197092,8319,7067,972549,877429
2006,1,"05","121","1",8155,135,635,16685,80803
2006,1,"05","123","1",10532,380,702,52575,87626
2006,1,"05","125","1",43464,572,2364,66779,264552
2006,1,"05","127","1",5004,0,1812,0,247452
2006,1,"05","129","1",4973,0,2513,0,337234
2006,1,"05","131","1",57477,2786,2339,318322,280033
2006,1,"05","133","1",6164,123,566,16006,70904
2006,1,"05","135","1",8340,0,1231,0,152841
2006,1,"05","137","1",4599,0,1235,0,156505
2006,1,"05","139","1",21005,1415,1103,174276,142085
2006,1,"05","141","1",6173,0,1152,0,144900
2006,1,"05","143","1",91740,1123,7637,133024,918894
2006,1,"05","145","1",30819,515,2328,44175,259988
2006,1,"05","147","1",2920,158,332,14680,40987
2006,1,"05","149","1",11440,57,4495,7176,602948
2006,1,"06","001","1",648378,8249,7133,1058619,805986
2006,1,"06","003","1",425,0,54,0,6926
2006,1,"06","005","1",13747,67,1264,8418,164617
2006,1,"06","007","1",100733,2088,4319,258968,530871
2006,1,"06","009","1",12134,0,2049,0,258133
2006,1,"06","011","1",4952,115,286,14859,35170
2006,1,"06","013","1",430612,4151,6355,503604,734833
2006,1,"06","015","1",10952,298,571,39033,76159
2006,1,"06","017","1",69423,298,5743,33248,699389
2006,1,"06","019","1",327975,3242,10837,339504,1260407
2006,1,"06","021","1",10274,116,453,14957,52055
2006,1,"06","023","1",58990,1287,3928,168629,536668
2006,1,"06","025","1",50658,169,2785,17529,257942
2006,1,"06","027","1",7606,76,429,8532,57416
2006,1,"06","029","1",283496,3270,12768,433168,1604765
2006,1,"06","031","1",43607,548,1239,69019,157824
2006,1,"06","033","1",23205,1587,1776,180656,238162
2006,1,"06","035","1",9345,295,855,33025,115526
