"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),3627,3767,3983,4278,4455,4596
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),2878,2980,3155,3384,3526,3640
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),98,97,102,106,93,122
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),76,76,81,81,71,99
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),22,21,22,25,22,24
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),10,10,16,15,15,14
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(L)",0,0,0,0,0
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),10,10,16,15,15,14
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,0,0
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),158,170,197,227,257,257
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),834,822,803,843,808,782
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),504,496,480,515,493,465
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),11,11,13,12,13,12
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),390,370,349,374,367,344
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1,2,"(D)",1,1,1
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),18,16,17,19,22,24
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),19,20,26,25,25,26
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),5,"(D)","(D)","(D)",9,10
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",22,"       Other transportation equipment manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",23,"       Furniture and related product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),3,3,3,3,3,2
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",24,"       Miscellaneous manufacturing",200,GDP by Metropolitan Area (millions of current dollars),18,22,25,26,23,21
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",25,"     Nondurable goods",200,GDP by Metropolitan Area (millions of current dollars),330,326,323,328,315,317
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",26,"       Food product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",27,"       Textile and textile product mills",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",28,"       Apparel manufacturing",200,GDP by Metropolitan Area (millions of current dollars),21,"(D)","(D)","(D)","(D)",15
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",29,"       Paper manufacturing",200,GDP by Metropolitan Area (millions of current dollars),21,18,12,14,14,15
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",30,"       Printing and related support activities",200,GDP by Metropolitan Area (millions of current dollars),10,12,12,13,14,15
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",31,"       Petroleum and coal products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,0,0
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",32,"       Chemical manufacturing",200,GDP by Metropolitan Area (millions of current dollars),54,41,39,45,37,39
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",33,"       Plastics and rubber products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),18,21,21,21,23,23
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",34,"   Wholesale trade",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",35,"   Retail trade",200,GDP by Metropolitan Area (millions of current dollars),349,372,382,406,403,393
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",36,"   Transportation and warehousing, excluding Postal Service",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",37,"     Air transportation",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(D)","(L)","(L)",1,1
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",38,"     Rail transportation",200,GDP by Metropolitan Area (millions of current dollars),1,1,"(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",39,"     Water transportation",200,GDP by Metropolitan Area (millions of current dollars),4,1,3,4,3,2
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",40,"     Truck transportation",200,GDP by Metropolitan Area (millions of current dollars),101,92,86,97,112,127
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",41,"     Transit and ground passenger transportation",200,GDP by Metropolitan Area (millions of current dollars),11,14,13,14,19,13
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",42,"     Pipeline transportation",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,0,0
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",43,"     Other transportation and support activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",44,"     Warehousing and storage",200,GDP by Metropolitan Area (millions of current dollars),6,20,24,32,35,41
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",45,"   Information",200,GDP by Metropolitan Area (millions of current dollars),73,80,85,85,98,112
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",46,"     Publishing including software",200,GDP by Metropolitan Area (millions of current dollars),11,12,13,11,13,13
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",47,"     Motion picture and sound recording industries",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",48,"     Broadcasting and telecommunications",200,GDP by Metropolitan Area (millions of current dollars),60,64,68,64,"(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",49,"     Information and data processing services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"47220","Vineland-Millville-Bridgeton, NJ (MSA)",50,"   Finance and insurance",200,GDP by Metropolitan Area (millions of current dollars),131,107,105,114,128,146
