"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"27500","Janesville, WI (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),3961,4361,4493,4542,4536,4950
"27500","Janesville, WI (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),3533,3919,4033,4075,4054,4448
"27500","Janesville, WI (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),28,20,46,63,45,56
"27500","Janesville, WI (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),24,16,42,59,40,51
"27500","Janesville, WI (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),4,4,4,4,4,5
"27500","Janesville, WI (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),11,12,14,17,18,21
"27500","Janesville, WI (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)","(L)"
"27500","Janesville, WI (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),11,"(D)",14,17,18,21
"27500","Janesville, WI (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),0,"(D)",0,0,0,0
"27500","Janesville, WI (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",133,130,116
"27500","Janesville, WI (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),187,178,189,211,227,217
"27500","Janesville, WI (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1200,1454,1425,1267,1114,1340
"27500","Janesville, WI (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),920,1164,1143,963,816,997
"27500","Janesville, WI (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),9,10,12,10,8,8
"27500","Janesville, WI (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),17,17,23,21,17,17
"27500","Janesville, WI (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),40,44,37,63,63,62
"27500","Janesville, WI (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),112,105,105,117,119,125
"27500","Janesville, WI (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),150,115,117,132,143,168
"27500","Janesville, WI (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)",0
"27500","Janesville, WI (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,"(D)","(D)"
"27500","Janesville, WI (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",22,"       Other transportation equipment manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",23,"       Furniture and related product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),41,44,62,52,48,48
"27500","Janesville, WI (MSA)",24,"       Miscellaneous manufacturing",200,GDP by Metropolitan Area (millions of current dollars),34,36,35,33,34,28
"27500","Janesville, WI (MSA)",25,"     Nondurable goods",200,GDP by Metropolitan Area (millions of current dollars),280,290,282,304,298,343
"27500","Janesville, WI (MSA)",26,"       Food product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",27,"       Textile and textile product mills",200,GDP by Metropolitan Area (millions of current dollars),16,12,"(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",28,"       Apparel manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",29,"       Paper manufacturing",200,GDP by Metropolitan Area (millions of current dollars),10,12,11,10,10,14
"27500","Janesville, WI (MSA)",30,"       Printing and related support activities",200,GDP by Metropolitan Area (millions of current dollars),12,14,15,17,18,19
"27500","Janesville, WI (MSA)",31,"       Petroleum and coal products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",0,0,0
"27500","Janesville, WI (MSA)",32,"       Chemical manufacturing",200,GDP by Metropolitan Area (millions of current dollars),67,73,61,84,69,99
"27500","Janesville, WI (MSA)",33,"       Plastics and rubber products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),46,46,43,47,54,63
"27500","Janesville, WI (MSA)",34,"   Wholesale trade",200,GDP by Metropolitan Area (millions of current dollars),222,250,263,278,294,311
"27500","Janesville, WI (MSA)",35,"   Retail trade",200,GDP by Metropolitan Area (millions of current dollars),355,364,385,404,425,430
"27500","Janesville, WI (MSA)",36,"   Transportation and warehousing, excluding Postal Service",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",191,192,231
"27500","Janesville, WI (MSA)",37,"     Air transportation",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",38,"     Rail transportation",200,GDP by Metropolitan Area (millions of current dollars),18,19,18,20,22,25
"27500","Janesville, WI (MSA)",39,"     Water transportation",200,GDP by Metropolitan Area (millions of current dollars),"(L)",0,0,0,0,0
"27500","Janesville, WI (MSA)",40,"     Truck transportation",200,GDP by Metropolitan Area (millions of current dollars),117,120,126,140,138,163
"27500","Janesville, WI (MSA)",41,"     Transit and ground passenger transportation",200,GDP by Metropolitan Area (millions of current dollars),10,10,10,12,12,13
"27500","Janesville, WI (MSA)",42,"     Pipeline transportation",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",2,"(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",43,"     Other transportation and support activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",44,"     Warehousing and storage",200,GDP by Metropolitan Area (millions of current dollars),1,1,2,2,3,10
"27500","Janesville, WI (MSA)",45,"   Information",200,GDP by Metropolitan Area (millions of current dollars),90,90,90,102,115,123
"27500","Janesville, WI (MSA)",46,"     Publishing including software",200,GDP by Metropolitan Area (millions of current dollars),24,21,"(D)","(D)",25,27
"27500","Janesville, WI (MSA)",47,"     Motion picture and sound recording industries",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",48,"     Broadcasting and telecommunications",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",64,71,75
"27500","Janesville, WI (MSA)",49,"     Information and data processing services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",50,"   Finance and insurance",200,GDP by Metropolitan Area (millions of current dollars),130,142,153,159,164,178
"27500","Janesville, WI (MSA)",51,"     Federal Reserve banks, credit intermediation and related services",200,GDP by Metropolitan Area (millions of current dollars),95,109,112,121,131,147
"27500","Janesville, WI (MSA)",52,"     Securities, commodity contracts, investments",200,GDP by Metropolitan Area (millions of current dollars),"(D)",11,10,10,10,11
"27500","Janesville, WI (MSA)",53,"     Insurance carriers and related activities",200,GDP by Metropolitan Area (millions of current dollars),17,22,31,28,23,20
"27500","Janesville, WI (MSA)",54,"     Funds, trusts, and other financial vehicles",200,GDP by Metropolitan Area (millions of current dollars),"(D)",0,0,0,0,0
"27500","Janesville, WI (MSA)",55,"   Real estate and rental and leasing",200,GDP by Metropolitan Area (millions of current dollars),269,301,323,328,356,376
"27500","Janesville, WI (MSA)",56,"     Real estate",200,GDP by Metropolitan Area (millions of current dollars),263,295,315,320,348,368
"27500","Janesville, WI (MSA)",57,"     Rental and leasing services and lessors of intangible assets",200,GDP by Metropolitan Area (millions of current dollars),7,6,8,8,8,7
"27500","Janesville, WI (MSA)",58,"   Professional and technical services",200,GDP by Metropolitan Area (millions of current dollars),82,77,78,84,88,103
"27500","Janesville, WI (MSA)",62,"   Management of companies and enterprises",200,GDP by Metropolitan Area (millions of current dollars),65,75,74,65,86,97
"27500","Janesville, WI (MSA)",63,"   Administrative and waste services",200,GDP by Metropolitan Area (millions of current dollars),78,78,79,87,89,101
"27500","Janesville, WI (MSA)",64,"     Administrative and support services",200,GDP by Metropolitan Area (millions of current dollars),73,75,76,83,85,96
"27500","Janesville, WI (MSA)",65,"     Waste management and remediation services",200,GDP by Metropolitan Area (millions of current dollars),4,2,3,4,4,5
"27500","Janesville, WI (MSA)",66,"   Educational services",200,GDP by Metropolitan Area (millions of current dollars),30,31,34,38,37,39
"27500","Janesville, WI (MSA)",67,"   Health care and social assistance",200,GDP by Metropolitan Area (millions of current dollars),330,374,394,418,436,463
"27500","Janesville, WI (MSA)",68,"     Ambulatory health care services",200,GDP by Metropolitan Area (millions of current dollars),127,136,147,151,152,162
"27500","Janesville, WI (MSA)",69,"     Hospitals and nursing and residential care facilities",200,GDP by Metropolitan Area (millions of current dollars),184,218,222,244,260,274
"27500","Janesville, WI (MSA)",70,"     Social assistance",200,GDP by Metropolitan Area (millions of current dollars),19,20,24,23,24,27
"27500","Janesville, WI (MSA)",71,"   Arts, entertainment, and recreation",200,GDP by Metropolitan Area (millions of current dollars),18,19,19,21,20,24
"27500","Janesville, WI (MSA)",72,"     Performing arts, museums, and related activities",200,GDP by Metropolitan Area (millions of current dollars),2,3,4,4,3,7
"27500","Janesville, WI (MSA)",73,"     Amusement, gambling, and recreation",200,GDP by Metropolitan Area (millions of current dollars),17,15,16,17,17,17
"27500","Janesville, WI (MSA)",74,"   Accommodation and food services",200,GDP by Metropolitan Area (millions of current dollars),91,95,99,105,107,109
"27500","Janesville, WI (MSA)",75,"     Accommodation",200,GDP by Metropolitan Area (millions of current dollars),15,16,16,16,16,14
"27500","Janesville, WI (MSA)",76,"     Food services and drinking places",200,GDP by Metropolitan Area (millions of current dollars),76,80,83,89,91,95
"27500","Janesville, WI (MSA)",77,"   Other services, except government",200,GDP by Metropolitan Area (millions of current dollars),91,98,100,105,109,114
"27500","Janesville, WI (MSA)",78," Government",200,GDP by Metropolitan Area (millions of current dollars),428,443,460,466,482,503
"27500","Janesville, WI (MSA)",79,"   Federal civilian",200,GDP by Metropolitan Area (millions of current dollars),34,36,36,39,41,42
"27500","Janesville, WI (MSA)",80,"   Federal military",200,GDP by Metropolitan Area (millions of current dollars),11,14,19,20,21,21
"27500","Janesville, WI (MSA)",81,"   State and local",200,GDP by Metropolitan Area (millions of current dollars),382,392,405,407,420,440
"27500","Janesville, WI (MSA)",99,"Natural resources and mining",200,GDP by Metropolitan Area (millions of current dollars),39,32,60,80,63,77
"27500","Janesville, WI (MSA)",100,"Trade",200,GDP by Metropolitan Area (millions of current dollars),578,614,648,682,719,741
"27500","Janesville, WI (MSA)",101,"Transportation and utilities",200,GDP by Metropolitan Area (millions of current dollars),257,261,269,324,322,348
"27500","Janesville, WI (MSA)",102,"Financial activities",200,GDP by Metropolitan Area (millions of current dollars),399,443,476,487,520,554
"27500","Janesville, WI (MSA)",103,"Professional and business services",200,GDP by Metropolitan Area (millions of current dollars),224,230,231,236,264,301
"27500","Janesville, WI (MSA)",104,"Education and health services",200,GDP by Metropolitan Area (millions of current dollars),360,406,428,456,473,502
"27500","Janesville, WI (MSA)",105,"Leisure and hospitality",200,GDP by Metropolitan Area (millions of current dollars),109,114,118,126,127,133
"27500","Janesville, WI (MSA)",106,"Information, Communication, and Technology (ICT)",200,GDP by Metropolitan Area (millions of current dollars),38,36,37,39,46,"(D)"
"27500","Janesville, WI (MSA)",108,"Private goods-producing industries",200,GDP by Metropolitan Area (millions of current dollars),1421,1660,1670,1553,1399,1628
"27500","Janesville, WI (MSA)",109,"Private services-providing industries",200,GDP by Metropolitan Area (millions of current dollars),2112,2258,2363,2522,2654,2819
"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"27500","Janesville, WI (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,108.896,110.969,110.049,108.053,115.877
"27500","Janesville, WI (MSA)",2," Private industries",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,110.081,112.526,111.863,109.741,118.678
"27500","Janesville, WI (MSA)",3,"   Agriculture, forestry, fishing, and hunting",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,75.826,157.265,181.204,151.469,200.022
"27500","Janesville, WI (MSA)",4,"     Crop and animal production (Farms)",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,72.948,167.038,194.316,159.380,215.031
"27500","Janesville, WI (MSA)",5,"     Forestry, fishing, and related activities",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,92.334,99.045,101.644,105.078,112.692
"27500","Janesville, WI (MSA)",6,"   Mining",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,106.068,116.166,126.985,122.962,122.771
"27500","Janesville, WI (MSA)",7,"     Oil and gas extraction",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,251.701,333.064,259.883,386.138,604.787
"27500","Janesville, WI (MSA)",8,"     Mining, except oil and gas",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,"(D)",116.307,127.154,123.102,122.870
"27500","Janesville, WI (MSA)",9,"     Support activities for mining",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),0.000,"(D)",0.000,0.000,0.000,0.000
"27500","Janesville, WI (MSA)",10,"   Utilities",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),"(D)","(D)","(D)","(D)","(D)","(D)"
"27500","Janesville, WI (MSA)",11,"   Construction",800,Quantity Indexes for Real GDP by Metropolitan Area (2001=100.000),100.000,91.238,92.080,94.700,92.755,80.369
