"msa_fips","city","state"
"30460","Lewiston","ME"
"30620","Lexington","KY"
"30700","Lima","OH"
"30780","Lincoln","NE"
"30860","Little Rock","AR"
"30980","Logan","UT"
"31020","Longview","TX"
"31100","Longview","WA"
"31140","Los Angeles","CA"
"31180","Louisville","KY"
"31340","Lubbock","TX"
"31420","Lynchburg","VA"
"31460","Macon","GA"
"31540","Madera","CA"
"31700","Madison","WI"
"31900","Manchester","NH"
"32580","Mansfield","OH"
"32780","McAllen","TX"
"32820","Medford","OR"
"32900","Memphis","TN"
"33100","Merced","CA"
"33140","Miami","FL"
"33260","Michigan City","IN"
"33340","Midland","TX"
"33460","Milwaukee","WI"
"33540","Minneapolis","MN"
"33660","Missoula","MT"
"33700","Mobile","AL"
"33740","Modesto","CA"
"33780","Monroe","LA"
"33860","Monroe","MI"
"34060","Montgomery","AL"
"34100","Morgantown","WV"
"34580","Morristown","TN"
"34620","Mount Vernon","WA"
"34740","Muncie","IN"
"34820","Muskegon","MI"
"34900","Myrtle Beach","SC"
"34940","Napa","CA"
"34980","Naples","FL"
"35300","Nashville","TN"
"35380","New Haven","CT"
"35620","New Orleans","LA"
"35660","New York","NY"
"35980","Niles","MI"
"36100","Norwich","CT"
"36140","Ocala","FL"
"36220","Ocean City","NJ"
"36260","Odessa","TX"
"36420","Ogden","UT"
"36500","Oklahoma City","OK"
"36540","Olympia","WA"
"36740","Omaha","NE"
"36780","Orlando","FL"
"36980","Oshkosh","WI"
"37100","Owensboro","KY"
"37340","Oxnard","CA"
"37380","Palm Bay","FL"
"37460","Palm Coast","FL"
"37620","Panama City","FL"
"37700","Parkersburg","WV"
"37860","Pascagoula","MS"
"37900","Pensacola","FL"
"37980","Peoria","IL"
"38060","Philadelphia","PA"
"38220","Phoenix","AZ"
"38300","Pine Bluff","AR"
"38340","Pittsburgh","PA"
"38540","Pittsfield","MA"
"38860","Pocatello","ID"
"38900","Portland","ME"
"38940","Portland","OR"
"39100","Port St. Lucie","FL"
"39140","Poughkeepsie","NY"
"39300","Prescott","AZ"
"39340","Providence","RI"
"39380","Provo","UT"
"39460","Pueblo","CO"
"39540","Punta Gorda","FL"
"39580","Racine","WI"
"39660","Raleigh","NC"
"39740","Rapid City","SD"
"39820","Reading","PA"
"39900","Redding","CA"
"40060","Reno","NV"
"40140","Richmond","VA"
"40220","Riverside","CA"
"40340","Roanoke","VA"
"40380","Rochester","MN"
"40420","Rochester","NY"
"40580","Rockford","IL"
"40660","Rocky Mount","NC"
"40900","Rome","GA"
"40980","Sacramento","CA"
"41060","Saginaw","MI"
"41100","St. Cloud","MN"
"41140","St. George","UT"
"41180","St. Joseph","MO"
"41420","St. Louis","MO"
"41500","Salem","OR"
"41540","Salinas","CA"
"41620","Salisbury","MD"
"41660","Salt Lake City","UT"
"41700","San Angelo","TX"
"41740","San Antonio","TX"
"41780","San Diego","CA"
"41860","Sandusky","OH"
"41940","San Francisco","CA"
"42020","San Jose","CA"
"42060","San Luis Obispo","CA"
"42100","Santa Barbara","CA"
"42140","Santa Cruz","CA"
"42220","Santa Fe","NM"
"42340","Santa Rosa","CA"
"42540","Savannah","GA"
"42660","Scranton","PA"
"42680","Seattle","WA"
"43100","Sebastian","FL"
"43300","Sheboygan","WI"
"43340","Sherman","TX"
"43580","Shreveport","LA"
"43620","Sioux City","IA"
"43780","Sioux Falls","SD"
"43900","South Bend","IN"
"44060","Spartanburg","SC"
"44100","Spokane","WA"
"44140","Springfield","IL"
"44180","Springfield","MA"
"44220","Springfield","MO"
"44300","Springfield","OH"
"44700","State College","PA"
"44940","Stockton","CA"
"45060","Sumter","SC"
"45220","Syracuse","NY"
"45300","Tallahassee","FL"
"45460","Tampa","FL"
"45500","Terre Haute","IN"
"45780","Texarkana","TX"
"45820","Toledo","OH"
"45940","Topeka","KS"
"46060","Trenton","NJ"
"46140","Tucson","AZ"
"46220","Tulsa","OK"
"46340","Tuscaloosa","AL"
"46540","Tyler","TX"
"46660","Utica","NY"
"46700","Valdosta","GA"
"47020","Vallejo","CA"
"47220","Victoria","TX"
"47260","Vineland","NJ"
