"msa","year","price_rng","value"
"240",1998,110,7.3
"240",1998,130,5.7
"240",1998,150,4.4
"240",1998,170,3.3
"240",1998,190,2.3
"240",1998,225,2.4
"240",1998,275,1.5
"240",1998,350,1.2
"240",1998,450,0.5
"240",1998,550,0.5
"250",1998,15,6.5
"250",1998,35,5.8
"250",1998,45,10.8
"250",1998,55,7.7
"250",1998,65,10
"250",1998,75,6.6
"250",1998,85,7.5
"250",1998,95,4.7
"250",1998,110,6.6
"250",1998,130,6.1
"250",1998,150,4.9
"250",1998,170,4.9
"250",1998,190,3.1
"250",1998,225,6.8
"250",1998,275,4.7
"250",1998,350,1.6
"250",1998,450,0.5
"250",1998,550,1
"260",1998,15,0.4
"260",1998,35,1.7
"260",1998,45,3.9
"260",1998,55,9.2
"260",1998,65,15
"260",1998,75,19.7
"260",1998,85,15.3
"260",1998,95,10.2
"260",1998,110,10.9
"260",1998,130,4.8
"260",1998,150,3.1
"260",1998,170,2.1
"260",1998,190,1.1
"260",1998,225,1.8
"260",1998,275,0.4
"260",1998,350,0.3
"260",1998,450,0
"260",1998,550,0
"270",1998,15,7.8
"270",1998,35,6.3
"270",1998,45,7.8
"270",1998,55,12.9
"270",1998,65,9.2
"270",1998,75,10.6
"270",1998,85,11.2
"270",1998,95,6.6
"270",1998,110,9.8
"270",1998,130,5.7
"270",1998,150,4.6
"270",1998,170,1.7
"270",1998,190,2.3
"270",1998,225,2
"270",1998,275,0.9
"270",1998,350,0.6
"270",1998,450,0
"270",1998,550,0
"280",1998,15,2.8
"280",1998,35,2.7
"280",1998,45,4.7
"280",1998,55,8.2
"280",1998,65,10.5
"280",1998,75,9.6
"280",1998,85,8.4
"280",1998,95,6.6
"280",1998,110,10.6
"280",1998,130,8.7
"280",1998,150,5.9
"280",1998,170,4.8
"280",1998,190,3.1
"280",1998,225,4.7
"280",1998,275,2.9
"280",1998,350,2.9
"280",1998,450,1.3
"280",1998,550,1.7
"292",1998,15,0.7
"292",1998,35,1.1
"292",1998,45,3.5
"292",1998,55,6.8
"292",1998,65,10.9
"292",1998,75,20.9
"292",1998,85,14.9
"292",1998,95,9.1
"292",1998,110,9
"292",1998,130,6.7
"292",1998,150,4.3
"292",1998,170,2.3
"292",1998,190,1.8
"292",1998,225,3.8
"292",1998,275,1.8
"292",1998,350,0.7
"292",1998,450,0.9
"292",1998,550,0.8
"300",1998,15,2.5
"300",1998,35,2.4
"300",1998,45,5.7
"300",1998,55,12.2
"300",1998,65,21.9
"300",1998,75,18.9
"300",1998,85,10.8
"300",1998,95,9
"300",1998,110,6.9
"300",1998,130,5.2
"300",1998,150,2.4
"300",1998,170,0.9
"300",1998,190,0.5
"300",1998,225,0.5
"300",1998,275,0
"300",1998,350,0.1
"300",1998,450,0
"300",1998,550,0
"315",1998,15,NA
"315",1998,35,NA
"315",1998,45,NA
"315",1998,55,NA
"315",1998,65,NA
"315",1998,75,NA
"315",1998,85,NA
"315",1998,95,NA
"315",1998,110,NA
"315",1998,130,NA
"315",1998,150,NA
"315",1998,170,NA
"315",1998,190,NA
"315",1998,225,NA
"315",1998,275,NA
"315",1998,350,NA
"315",1998,450,NA
"315",1998,550,NA
"320",1998,15,5.2
"320",1998,35,5.9
"320",1998,45,7.9
"320",1998,55,11.1
"320",1998,65,11.1
"320",1998,75,9
"320",1998,85,10.3
"320",1998,95,6.3
"320",1998,110,10.7
"320",1998,130,7.3
"320",1998,150,5.3
"320",1998,170,2.6
"320",1998,190,1.8
"320",1998,225,2.9
"320",1998,275,1.1
"320",1998,350,0.9
"320",1998,450,0.3
"320",1998,550,0.2
"330",1998,15,4.8
"330",1998,35,4.8
"330",1998,45,10.2
"330",1998,55,11
"330",1998,65,12.4
"330",1998,75,12.9
"330",1998,85,10.5
"330",1998,95,5.7
"330",1998,110,8.1
"330",1998,130,6.3
"330",1998,150,3.7
"330",1998,170,2.1
"330",1998,190,2
"330",1998,225,2.7
"330",1998,275,1
"330",1998,350,1
"330",1998,450,0.3
"330",1998,550,0.3
"340",1998,15,6.5
"340",1998,35,8.6
"340",1998,45,8
"340",1998,55,8.6
"340",1998,65,13.5
"340",1998,75,10.5
"340",1998,85,7.8
"340",1998,95,5.5
"340",1998,110,10.8
"340",1998,130,7.6
"340",1998,150,4.6
"340",1998,170,2.7
"340",1998,190,1.3
"340",1998,225,1.9
"340",1998,275,0.8
"340",1998,350,0.6
"340",1998,450,0.2
"340",1998,550,0.2
"350",1998,15,4.7
"350",1998,35,6.3
"350",1998,45,7.8
"350",1998,55,10
"350",1998,65,11.7
"350",1998,75,12
"350",1998,85,10.9
"350",1998,95,5.4
"350",1998,110,8.1
"350",1998,130,7.1
"350",1998,150,4
"350",1998,170,3.5
"350",1998,190,3
"350",1998,225,3.2
"350",1998,275,1
"350",1998,350,0.7
"350",1998,450,0.2
"350",1998,550,0.4
"355",1998,15,NA
"355",1998,35,NA
"355",1998,45,NA
"355",1998,55,NA
"355",1998,65,NA
"355",1998,75,NA
"355",1998,85,NA
"355",1998,95,NA
"355",1998,110,NA
"355",1998,130,NA
"355",1998,150,NA
"355",1998,170,NA
"355",1998,190,NA
"355",1998,225,NA
"355",1998,275,NA
"355",1998,350,NA
"355",1998,450,NA
"355",1998,550,NA
"360",1998,15,1.9
"360",1998,35,2.4
"360",1998,45,3.7
"360",1998,55,4.4
"360",1998,65,6.1
"360",1998,75,7.6
"360",1998,85,8
"360",1998,95,6.9
"360",1998,110,11.6
"360",1998,130,10.1
"360",1998,150,8.1
"360",1998,170,6.4
"360",1998,190,4.8
"360",1998,225,7.1
"360",1998,275,4.7
"360",1998,350,4
"360",1998,450,1.1
"360",1998,550,1
"370",1998,15,NA
"370",1998,35,NA
"370",1998,45,NA
"370",1998,55,NA
"370",1998,65,NA
"370",1998,75,NA
"370",1998,85,NA
"370",1998,95,NA
"370",1998,110,NA
"370",1998,130,NA
"370",1998,150,NA
"370",1998,170,NA
"370",1998,190,NA
"370",1998,225,NA
"370",1998,275,NA
"370",1998,350,NA
"370",1998,450,NA
"370",1998,550,NA
"390",1998,15,0.3
"390",1998,35,0.8
"390",1998,45,1.7
"390",1998,55,3.4
"390",1998,65,6
"390",1998,75,7.2
"390",1998,85,8.2
"390",1998,95,7.6
"390",1998,110,12.1
"390",1998,130,11.6
"390",1998,150,8.8
"390",1998,170,6.2
"390",1998,190,4.2
"390",1998,225,6.8
"390",1998,275,6.1
"390",1998,350,5.4
"390",1998,450,2
"390",1998,550,1.6
"395",1998,15,NA
"395",1998,35,NA
"395",1998,45,NA
"395",1998,55,NA
"395",1998,65,NA
"395",1998,75,NA
"395",1998,85,NA
"395",1998,95,NA
"395",1998,110,NA
"395",1998,130,NA
"395",1998,150,NA
"395",1998,170,NA
"395",1998,190,NA
"395",1998,225,NA
"395",1998,275,NA
"395",1998,350,NA
"395",1998,450,NA
"395",1998,550,NA
"410",1998,15,17
"410",1998,35,11
"410",1998,45,10.4
"410",1998,55,13.8
"410",1998,65,11.9
"410",1998,75,9.4
"410",1998,85,3.8
"410",1998,95,3.5
"410",1998,110,7.2
"410",1998,130,4.1
"410",1998,150,1.6
"410",1998,170,2.5
"410",1998,190,0.9
"410",1998,225,0.9
"410",1998,275,0.9
"410",1998,350,0.6
"410",1998,450,0.3
"410",1998,550,0
"420",1998,15,15
"420",1998,35,12.5
"420",1998,45,10.7
"420",1998,55,11.8
"420",1998,65,8.6
"420",1998,75,10.4
"420",1998,85,6.3
"420",1998,95,6.1
"420",1998,110,6.1
"420",1998,130,4.5
"420",1998,150,2.9
"420",1998,170,1.8
"420",1998,190,1.8
"420",1998,225,1.1
"420",1998,275,0.2
"420",1998,350,0
"420",1998,450,0
"420",1998,550,0
"440",1998,15,17.8
"440",1998,35,11.2
"440",1998,45,12.5
"440",1998,55,10.9
"440",1998,65,9.5
"440",1998,75,7.4
"440",1998,85,6.3
"440",1998,95,4.6
"440",1998,110,7.4
"440",1998,130,5
"440",1998,150,3.3
"440",1998,170,1.9
"440",1998,190,0.6
"440",1998,225,0.9
"440",1998,275,0.6
"440",1998,350,0.1
"440",1998,450,0.1
"440",1998,550,0
"450",1998,15,5.8
"450",1998,35,9.7
"450",1998,45,11.1
"450",1998,55,12
"450",1998,65,11.6
"450",1998,75,10.1
"450",1998,85,11.3
"450",1998,95,9.3
"450",1998,110,6.5
"450",1998,130,3.9
"450",1998,150,2.2
"450",1998,170,2
"450",1998,190,1.6
"450",1998,225,1.6
"450",1998,275,0.4
"450",1998,350,0.5
"450",1998,450,0.3
"450",1998,550,0
"460",1998,15,3.4
"460",1998,35,3.9
"460",1998,45,7.3
"460",1998,55,8.6
"460",1998,65,10.3
"460",1998,75,9.5
"460",1998,85,9.3
"460",1998,95,6.9
"460",1998,110,10.5
"460",1998,130,8.8
"460",1998,150,5.6
"460",1998,170,3.9
"460",1998,190,2.9
"460",1998,225,3.8
"460",1998,275,1.9
"460",1998,350,2
"460",1998,450,0.6
"460",1998,550,0.6
"475",1998,15,0.7
"475",1998,35,2.6
"475",1998,45,4
"475",1998,55,4
"475",1998,65,11.4
"475",1998,75,9.9
"475",1998,85,12.1
"475",1998,95,11.8
"475",1998,110,10.3
"475",1998,130,11
"475",1998,150,7.7
"475",1998,170,6.6
"475",1998,190,2.6
"475",1998,225,3.3
"475",1998,275,1.5
"475",1998,350,0.4
"475",1998,450,0
"475",1998,550,0
"480",1998,15,10.3
"480",1998,35,7.5
"480",1998,45,9.7
"480",1998,55,11.5
"480",1998,65,9.6
"480",1998,75,7.8
"480",1998,85,9.3
"480",1998,95,8
"480",1998,110,7.5
"480",1998,130,7.3
"480",1998,150,4.5
"480",1998,170,2.5
"480",1998,190,1.2
"480",1998,225,1.7
"480",1998,275,0.9
"480",1998,350,0.7
"480",1998,450,0
"480",1998,550,0.1
"490",1998,15,3.6
"490",1998,35,3.2
"490",1998,45,7.7
"490",1998,55,9.4
"490",1998,65,12.5
"490",1998,75,12.8
"490",1998,85,10.4
"490",1998,95,7.8
"490",1998,110,8.2
"490",1998,130,8.5
"490",1998,150,4.7
"490",1998,170,3.6
"490",1998,190,2
"490",1998,225,2.9
"490",1998,275,2
"490",1998,350,0.4
"490",1998,450,0.1
"490",1998,550,0
"500",1998,15,NA
"500",1998,35,NA
"500",1998,45,NA
"500",1998,55,NA
"500",1998,65,NA
"500",1998,75,NA
"500",1998,85,NA
"500",1998,95,NA
"500",1998,110,NA
"500",1998,130,NA
"500",1998,150,NA
"500",1998,170,NA
"500",1998,190,NA
"500",1998,225,NA
"500",1998,275,NA
"500",1998,350,NA
"500",1998,450,NA
"500",1998,550,NA
"520",1998,15,5.3
"520",1998,35,4.3
"520",1998,45,6.1
"520",1998,55,9.3
"520",1998,65,8.2
"520",1998,75,8.6
"520",1998,85,10
"520",1998,95,7.1
"520",1998,110,10
"520",1998,130,9.1
"520",1998,150,5.6
"520",1998,170,4.3
"520",1998,190,2.8
"520",1998,225,3.8
"520",1998,275,3.8
"520",1998,350,0.9
"520",1998,450,0.8
"520",1998,550,0.2
"530",1998,15,5
"530",1998,35,6.5
"530",1998,45,8.8
"530",1998,55,9.3
"530",1998,65,11.7
"530",1998,75,12.1
"530",1998,85,10
"530",1998,95,8
"530",1998,110,9.9
"530",1998,130,5.2
"530",1998,150,5.2
"530",1998,170,2.7
"530",1998,190,2.4
"530",1998,225,1.9
"530",1998,275,0.9
"530",1998,350,0.3
"530",1998,450,0.1
"530",1998,550,0.1
"540",1998,15,NA
"540",1998,35,NA
"540",1998,45,NA
"540",1998,55,NA
"540",1998,65,NA
"540",1998,75,NA
"540",1998,85,NA
"540",1998,95,NA
"540",1998,110,NA
"540",1998,130,NA
"540",1998,150,NA
"540",1998,170,NA
"540",1998,190,NA
"540",1998,225,NA
"540",1998,275,NA
"540",1998,350,NA
"540",1998,450,NA
"540",1998,550,NA
"550",1998,15,10.1
"550",1998,35,8.3
"550",1998,45,9.9
"550",1998,55,9.9
"550",1998,65,11.4
"550",1998,75,10.5
"550",1998,85,8.8
"550",1998,95,7.2
"550",1998,110,8.2
"550",1998,130,4.9
"550",1998,150,4.3
"550",1998,170,2.2
"550",1998,190,1.4
"550",1998,225,1.3
"550",1998,275,0.8
"550",1998,350,0.6
"550",1998,450,0.1
"550",1998,550,0
"800",1998,15,3.1
"800",1998,35,3.1
"800",1998,45,4.9
"800",1998,55,7.1
"800",1998,65,9
"800",1998,75,9.2
"800",1998,85,9.1
"800",1998,95,7.2
"800",1998,110,10.8
"800",1998,130,9.3
"800",1998,150,6.5
"800",1998,170,4.8
"800",1998,190,3.3
"800",1998,225,4.9
"800",1998,275,2.8
"800",1998,350,2.5
"800",1998,450,1
"800",1998,550,1.3
"110",1999,15,12.9
"110",1999,35,11.2
"110",1999,45,9.2
"110",1999,55,10.5
"110",1999,65,10.1
"110",1999,75,10.3
"110",1999,85,8.9
"110",1999,95,6.5
"110",1999,110,6
"110",1999,130,5.7
"110",1999,150,3.1
"110",1999,170,1.9
"110",1999,190,1.3
"110",1999,225,1.3
"110",1999,275,0.5
"110",1999,350,0.4
"110",1999,450,0.1
"110",1999,550,0
"120",1999,15,7.8
"120",1999,35,7.3
"120",1999,45,8.6
"120",1999,55,7.7
"120",1999,65,8.8
"120",1999,75,8.7
"120",1999,85,8.1
"120",1999,95,7.2
"120",1999,110,9.7
"120",1999,130,8.2
"120",1999,150,5.6
"120",1999,170,3.5
"120",1999,190,2
"120",1999,225,3.6
"120",1999,275,1.3
"120",1999,350,1.6
"120",1999,450,0.1
"120",1999,550,0.2
"130",1999,15,0.7
"130",1999,35,1.3
"130",1999,45,2.9
"130",1999,55,6
"130",1999,65,8.6
"130",1999,75,12.9
"130",1999,85,11.9
"130",1999,95,9.7
"130",1999,110,12.6
"130",1999,130,9.9
"130",1999,150,7.2
"130",1999,170,5.5
"130",1999,190,3
"130",1999,225,4.1
"130",1999,275,1.4
"130",1999,350,1.5
"130",1999,450,0.3
"130",1999,550,0.5
"140",1999,15,0.3
"140",1999,35,0.6
"140",1999,45,1.2
"140",1999,55,2
"140",1999,65,3.3
"140",1999,75,4.9
"140",1999,85,8.3
"140",1999,95,10.2
"140",1999,110,14.8
"140",1999,130,12.8
"140",1999,150,8.6
"140",1999,170,6.5
"140",1999,190,4.9
"140",1999,225,8
"140",1999,275,5
"140",1999,350,3.9
"140",1999,450,1.9
"140",1999,550,2.5
"145",1999,15,2.4
"145",1999,35,3
"145",1999,45,3.2
"145",1999,55,3.7
"145",1999,65,5.6
"145",1999,75,9.1
"145",1999,85,11.1
"145",1999,95,8.1
"145",1999,110,13.3
"145",1999,130,12.2
"145",1999,150,7.6
"145",1999,170,5.2
"145",1999,190,3.8
"145",1999,225,5.1
"145",1999,275,3.3
"145",1999,350,2.1
"145",1999,450,0.8
"145",1999,550,0.6
"150",1999,15,7.9
"150",1999,35,6.1
"150",1999,45,7.2
"150",1999,55,9.3
"150",1999,65,9.7
"150",1999,75,9.1
"150",1999,85,8.9
"150",1999,95,8
"150",1999,110,11
"150",1999,130,6.1
"150",1999,150,5.9
"150",1999,170,3.5
"150",1999,190,1.8
"150",1999,225,2.8
"150",1999,275,1.1
"150",1999,350,1.2
"150",1999,450,0.2
"150",1999,550,0.3
"160",1999,15,5.6
"160",1999,35,4.5
"160",1999,45,7.1
"160",1999,55,10.3
"160",1999,65,12.2
"160",1999,75,11.6
"160",1999,85,7.7
"160",1999,95,5.3
"160",1999,110,11.8
"160",1999,130,6.5
"160",1999,150,4.9
"160",1999,170,3.6
"160",1999,190,1.9
"160",1999,225,3.8
"160",1999,275,1.4
"160",1999,350,1.5
"160",1999,450,0
"160",1999,550,0.2
"170",1999,15,5.7
"170",1999,35,10.6
"170",1999,45,9.7
"170",1999,55,11.4
"170",1999,65,14.8
"170",1999,75,10.6
"170",1999,85,9.3
"170",1999,95,4.4
"170",1999,110,6.3
"170",1999,130,6.3
"170",1999,150,4
"170",1999,170,1.9
"170",1999,190,1.3
"170",1999,225,2.3
"170",1999,275,0.6
"170",1999,350,0.9
"170",1999,450,0.2
"170",1999,550,0
"180",1999,15,2.7
"180",1999,35,3.2
"180",1999,45,6.3
"180",1999,55,6.8
"180",1999,65,7.5
"180",1999,75,9.6
"180",1999,85,9.9
"180",1999,95,8
"180",1999,110,13.1
"180",1999,130,9.7
"180",1999,150,6.6
"180",1999,170,5
"180",1999,190,3.8
"180",1999,225,3.9
"180",1999,275,1.7
"180",1999,350,1.7
"180",1999,450,0.3
"180",1999,550,0.3
"186",1999,15,0.3
"186",1999,35,0.3
"186",1999,45,0.5
"186",1999,55,0.8
"186",1999,65,1.4
"186",1999,75,2.3
"186",1999,85,3.5
"186",1999,95,5
"186",1999,110,11.4
"186",1999,130,15.9
"186",1999,150,14
"186",1999,170,9.7
"186",1999,190,6.4
"186",1999,225,11.4
"186",1999,275,6.4
"186",1999,350,5.9
"186",1999,450,2.1
"186",1999,550,2.6
"190",1999,15,4.2
"190",1999,35,3.8
"190",1999,45,6.9
"190",1999,55,8.3
"190",1999,65,9.6
"190",1999,75,12.7
"190",1999,85,11.7
"190",1999,95,8.6
"190",1999,110,11.3
"190",1999,130,6.3
"190",1999,150,6
"190",1999,170,3.5
"190",1999,190,2
"190",1999,225,2.9
"190",1999,275,1.3
"190",1999,350,0.7
"190",1999,450,0.2
"190",1999,550,0
"200",1999,15,1.7
"200",1999,35,1.8
"200",1999,45,2.5
"200",1999,55,4
"200",1999,65,5.2
"200",1999,75,6.6
"200",1999,85,8.2
"200",1999,95,7.7
"200",1999,110,11.6
"200",1999,130,11.5
"200",1999,150,8.9
"200",1999,170,6.4
"200",1999,190,4.6
"200",1999,225,7.3
"200",1999,275,4.2
"200",1999,350,3.9
"200",1999,450,1.6
"200",1999,550,2.5
"212",1999,15,0.2
"212",1999,35,0.3
"212",1999,45,0.3
"212",1999,55,1.6
"212",1999,65,2.4
"212",1999,75,5.5
"212",1999,85,8.3
"212",1999,95,7.5
"212",1999,110,15
"212",1999,130,14
"212",1999,150,10.7
"212",1999,170,8.8
"212",1999,190,6.7
"212",1999,225,9.2
"212",1999,275,4.2
"212",1999,350,3.4
"212",1999,450,1.1
"212",1999,550,0.9
"220",1999,15,1.4
"220",1999,35,1.8
"220",1999,45,5.4
"220",1999,55,14
"220",1999,65,16.6
"220",1999,75,13.8
"220",1999,85,11.2
"220",1999,95,8.3
"220",1999,110,8.8
"220",1999,130,4.7
"220",1999,150,4.2
"220",1999,170,3.2
"220",1999,190,1.7
"220",1999,225,2.6
"220",1999,275,1.1
"220",1999,350,0.9
"220",1999,450,0.2
"220",1999,550,0.1
"230",1999,15,0.4
"230",1999,35,0.5
"230",1999,45,1.1
"230",1999,55,3.2
"230",1999,65,8.3
"230",1999,75,9.5
"230",1999,85,7.5
"230",1999,95,6.6
"230",1999,110,10.6
"230",1999,130,12
"230",1999,150,8.4
"230",1999,170,8.1
"230",1999,190,5.4
"230",1999,225,7.5
"230",1999,275,4.4
"230",1999,350,3.3
"230",1999,450,1.5
"230",1999,550,1.6
"240",1999,15,5.4
"240",1999,35,5.8
"240",1999,45,8
"240",1999,55,9.8
"240",1999,65,12
"240",1999,75,11.2
"240",1999,85,9.5
"240",1999,95,6.1
"240",1999,110,8.8
"240",1999,130,6.4
"240",1999,150,3.7
"240",1999,170,3.3
"240",1999,190,2.2
"240",1999,225,3.5
"240",1999,275,1.6
"240",1999,350,1.4
"240",1999,450,0.6
"240",1999,550,0.7
"250",1999,15,5.7
"250",1999,35,5.8
"250",1999,45,8.1
"250",1999,55,8
"250",1999,65,8.4
"250",1999,75,10.1
"250",1999,85,7.1
"250",1999,95,5.2
"250",1999,110,7.4
"250",1999,130,8
"250",1999,150,4.2
"250",1999,170,3.4
"250",1999,190,3.1
"250",1999,225,6.2
"250",1999,275,4.4
"250",1999,350,2.9
"250",1999,450,0.8
"250",1999,550,1
"260",1999,15,0.5
"260",1999,35,1.8
"260",1999,45,2.6
"260",1999,55,6.4
"260",1999,65,10.7
"260",1999,75,15.8
"260",1999,85,18.8
"260",1999,95,13.5
"260",1999,110,13.6
"260",1999,130,7
"260",1999,150,3.1
"260",1999,170,2
"260",1999,190,1.3
"260",1999,225,2
"260",1999,275,0.6
"260",1999,350,0.2
"260",1999,450,0
"260",1999,550,0
"270",1999,15,10.4
"270",1999,35,6.7
"270",1999,45,6.4
"270",1999,55,9.4
"270",1999,65,10.4
"270",1999,75,13.5
"270",1999,85,8.4
"270",1999,95,4.4
"270",1999,110,8.1
"270",1999,130,6.7
"270",1999,150,6.4
"270",1999,170,5.1
"270",1999,190,1.3
"270",1999,225,1.7
"270",1999,275,1
"270",1999,350,0.3
"270",1999,450,0
"270",1999,550,0
"280",1999,15,2.3
"280",1999,35,2.4
"280",1999,45,3.7
"280",1999,55,5.9
"280",1999,65,9.5
"280",1999,75,9.9
"280",1999,85,8.9
"280",1999,95,6.9
"280",1999,110,10.6
"280",1999,130,9.6
"280",1999,150,6.2
"280",1999,170,5
"280",1999,190,3.6
"280",1999,225,5.5
"280",1999,275,3.3
"280",1999,350,3.3
"280",1999,450,1.4
"280",1999,550,2.1
"292",1999,15,0.4
"292",1999,35,1.7
"292",1999,45,2.6
"292",1999,55,3.9
