"state","county","year","births","deaths","domesticmig","gqestimates","internationalmig","naturalinc","netmig","npopchg_","popestimate","rbirth","rdeath","rdomesticmig","residual","rinternationalmig","rnaturalinc","rnetmig"
1,7,2006,268,233,-101,1300,7,35,-94,-68,21307,12.557986973,10.917951361,-4.732674195,-9,0.3280071224,1.6400356122,-4.404667073
1,7,2007,252,217,133,1297,5,35,138,176,21483,11.77845291,10.142556672,6.2164057023,3,0.2336994625,1.6358962374,6.4501051648
1,7,2008,257,218,92,1297,5,39,97,146,21629,11.922434589,10.113193542,4.2679532381,10,0.2319539803,1.8092410466,4.4999072184
1,9,2001,687,480,536,610,97,207,633,802,51979,13.319632401,9.3062933809,10.392027609,-38,1.8806467874,4.0133390205,12.272674396
1,9,2002,677,511,535,610,94,166,629,758,52737,12.930211238,9.7597310822,10.218113755,-37,1.7953321364,3.1704801559,12.013445892
1,9,2003,661,556,767,610,75,105,842,923,53660,12.425162364,10.451422503,14.417699747,-24,1.4098141865,1.9737398611,15.827513934
1,9,2004,689,514,517,610,79,175,596,721,54381,12.754417305,9.5149063781,9.5704408512,-50,1.4624077896,3.2395109264,11.032848641
1,9,2005,685,542,362,610,80,143,442,534,54915,12.53476797,9.9180207876,6.624213146,-51,1.4639145074,2.616747182,8.0881276533
1,9,2006,675,546,609,610,83,129,692,793,55708,12.203610461,9.871364906,11.010368549,-28,1.5005921011,2.3322455547,12.51096065
1,9,2007,724,534,509,610,74,190,583,794,56502,12.904375724,9.5178682827,9.0722751983,21,1.3189555298,3.3865074414,10.391230728
1,9,2008,729,554,668,610,74,175,742,939,57441,12.79587162,9.7241603258,11.725160826,22,1.2988950616,3.0717112942,13.024055888
1,11,2001,167,137,-289,1504,40,30,-249,-226,11377,14.53437772,11.923411662,-25.15230635,-7,3.4812880766,2.6109660574,-21.67101828
1,11,2002,147,147,-156,1541,36,0,-120,-126,11251,12.992752342,12.992752342,-13.78822698,-6,3.1818985328,0,-10.60632844
1,11,2003,140,129,12,1642,32,11,44,40,11291,12.421258096,11.445302103,1.0646792654,-15,2.8391447077,0.9759559933,3.903823973
1,11,2004,144,129,-306,1523,33,15,-273,-273,11018,12.909588059,11.564839303,-27.43287462,-15,2.9584472634,1.3447487561,-24.47442736
1,11,2005,165,134,-132,1608,32,31,-100,-75,10943,15.026638131,12.203451573,-12.0213105,-6,2.9142570921,2.823186558,-9.107053413
1,11,2006,205,131,-326,1485,32,74,-294,-224,10719,18.927153541,12.09491275,-30.09879051,-4,2.9544825039,6.8322407903,-27.144308
1,11,2007,171,112,115,1632,30,59,145,194,10913,15.809911243,10.355029586,10.63239645,-10,2.7736686391,5.4548816568,13.406065089
1,11,2008,155,114,-176,1632,29,41,-147,-117,10796,14.279791791,10.502556543,-16.21447326,-11,2.6717029803,3.7772352481,-13.54277028
1,13,2001,293,259,-301,265,3,34,-298,-278,21036,13.837072019,12.231404959,-14.21487603,-14,0.1416765053,1.6056670602,-14.07319953
1,13,2002,264,322,-360,265,2,-58,-358,-429,20607,12.679201787,15.464783997,-17.28982062,-13,0.096054559,-2.785582211,-17.19376606
1,13,2003,270,291,-23,265,-1,-21,-24,-71,20536,13.124954427,14.145784216,-1.118051673,-26,-0.048610942,-1.020829789,-1.166662616
