"pop08","pop00_est","pop_change_perc","pop_change","pop00","pop_under5","pop_under5_perc","pop_under18","pop_under18_perc","pop_over65","pop_over65_perc","pop_female","pop_white","pop_black","pop_indian","pop_asian","pop_pi","pop_multiracial","pop_hispanic","pop_nonhispanic","pop_white_perc","pop_black_perc","pop_indian_perc","pop_asian_perc","pop_pi_perc","pop_multiracial_perc","pop_hispanic_perc","pop_nothispanic_perc","births","deaths","deaths_infact","same_house_perc","foreign_born_perc","foreign_lang_perc","gse_perc","bachelor_perc","disabled","travel_time","houses07","houses_change","houses_change_perc","owner_occupied","value00","units_in_structure","household","household_size","income_percap_99","income_hhold_07","poverty_perc","income_personal_06","income_percap_06","laborforce","unemploy","unemploy_rate","employ_all","employ_change","employ_govt","earnings","earnings_job","employers","employ_private","employ_private_change","nonemployer","hospitality","firms","firms_black_perc","firms_indian_perc","firms_asian_perc","firms_hispanic_perc","firms_pi_perc","firms_female_perc","manufact","trade_wholesale","trade_retail","trade_retail_percap","houses_new","houses_new_value","farms","govt_exp","govt_exp_percap","area","popdens","state","county"
9190,9387,-2.1,-197,9383,782,8.5,2676,29.1,10.7,982,50,5725,29,3188,40,0,200,249,5537,62.4,0.3,34.7,0.4,0,2.2,2.7,60.3,174,87,0,58.8,1.1,13.1,84.4,17.6,1460,16,3909,-3,-0.1,67.1,66700,10.8,3307,2.81,15032,44948,19,269,29498,3851,179,4.6,5852,-41,1714,242337,41411,184,2720,1.8,526,8400,678,0,0,0,0,0,35.3,0,0,39216,4227,18,2414,2540898,71367,7772,5012.37,1.9,30,87
11034,10227,7.9,807,10227,512,4.6,2162,19.6,19.5,2150,50,10191,21,513,43,1,264,219,10001,92.4,0.2,4.6,0.4,0,2.4,2,90.6,94,127,0,56.7,2,4,81.2,15.5,2354,22.3,5299,28,0.5,76.4,82900,4.7,4273,2.35,14593,31932,16.4,241,22116,4681,278,5.9,5949,904,763,132741,22313,386,2519,32.8,1128,8674,1351,0,0,0,0,0,21.8,0,26118,45869,4395,0,0,345775,82690,7495,2762.17,3.7,30,89
3283,4105,-20,-822,4105,107,3.2,535,15.9,25.8,870,50.6,3248,8,61,11,1,44,72,3186,96.3,0.2,1.8,0.3,0,1.3,2.1,94.5,22,52,0,72.6,1.9,3.3,81.2,18.4,628,12.8,2142,-25,-1.2,80.2,45800,9.3,1741,2.29,16038,35395,13.9,98,28743,1720,42,2.4,2522,57,374,51962,20603,140,884,0.6,308,3706,457,0,0,0,0,0,0,0,22735,26233,6891,1,18,1046892,50761,15049,1676.58,2.4,30,91
32803,34606,-5.2,-1803,34606,1918,5.9,7201,22.1,16.7,5460,50.2,31162,78,749,183,18,462,1044,30260,95.4,0.2,2.3,0.6,0.1,1.4,3.2,92.7,377,444,0,59,1.6,4,85.1,21.7,5993,14.3,16260,83,0.5,70.4,74900,18.8,14432,2.32,17009,40053,15.3,1106,33835,17212,560,3.3,20473,1515,2638,799088,39031,1141,12684,2.2,1943,58863,2883,0,0,0,0,0,21.1,0,136324,432660,12934,90,8464,73792,266606,8165,718.31,48.2,30,93
8687,8195,6,492,8195,523,6,1968,22.7,15.3,1328,48.6,8390,21,103,25,2,119,233,8180,96.9,0.2,1.2,0.3,0,1.4,2.7,94.5,106,81,0,55,1.5,3.2,87.5,17.8,1414,28.5,4006,59,1.5,76,102200,4.9,3234,2.48,18468,51722,9.7,265,31202,4503,125,2.8,5354,449,507,195684,36549,254,2532,4.9,768,7774,911,0,0,0,0,0,0,0,12491,55462,6557,11,2228,890326,54937,6344,1795.09,4.6,30,95
3790,3609,5,181,3609,184,4.8,836,22,18.6,709,48.9,3713,5,20,21,0,48,76,3644,97.5,0.1,0.5,0.6,0,1.3,2,95.7,40,34,0,55.3,1.7,3,88.9,23.6,518,20.8,1909,49,2.6,74.1,97800,5.7,1476,2.41,17880,42229,9.4,97,26307,3014,48,1.6,2956,781,387,95483,32301,169,1164,80.7,420,6295,545,0,0,0,0,0,29,0,3515,37476,10344,3,608,867058,30394,7984,1855.08,1.9,30,97
5992,6445,-7,-453,6445,317,5.3,1354,22.5,17.6,1062,50.3,5774,14,125,10,1,99,76,5712,95.9,0.2,2.1,0.2,0,1.6,1.3,94.8,64,77,0,61.8,1.5,8.1,83.4,20.8,1055,19.2,2910,0,0,75.4,74700,9,2538,2.51,14635,38290,12.9,194,32270,3069,86,2.8,3682,365,577,101272,27505,206,1145,6.3,596,2748,707,0,0,0,0,0,36.2,0,9470,37290,5899,4,415,1230550,55609,9233,2272.61,2.8,30,99
5141,5267,-2.4,-126,5267,219,4.3,1022,19.9,15.4,794,46.5,4703,11,268,20,1,141,113,4615,91.4,0.2,5.2,0.4,0,2.7,2.2,89.7,49,59,0,60.6,3.6,7.7,81,16.8,884,14.2,2276,-24,-1,71.2,60700,13.3,1962,2.47,14731,37959,14.4,161,30987,2442,53,2.2,3488,199,731,120695,34603,195,1557,0.4,398,6204,577,0,0,0,0,0,0,0,69269,33657,6401,4,975,1087797,50626,9842,1910.95,2.8,30,101
637,861,-26,-224,861,23,3.5,123,18.9,18.3,119,48.7,630,1,15,3,0,2,13,617,96.8,0.2,2.3,0.5,0,0.3,2,94.8,5,9,0,63.7,0.8,2.2,86.3,18.2,131,18.3,417,-5,-1.2,71.4,40700,3.3,357,2.41,14392,36193,13.3,16,23275,401,12,3,463,43,78,6835,14762,25,104,13,49,342,79,0,0,0,0,0,0,0,0,4359,5610,0,0,606846,7696,11822,978.86,0.9,30,103
6892,7675,-10.2,-783,7675,376,5.5,1491,21.6,20.6,1423,50.9,5998,10,728,29,1,133,69,5943,86.9,0.1,10.6,0.4,0,1.9,1,86.1,82,69,0,69.7,1.1,3.3,83.9,15.7,1371,12.6,4807,-40,-0.8,75.8,59400,20,3150,2.38,16246,37019,14.8,210,30258,3657,113,3.1,4793,137,777,125805,26248,271,1943,9.6,541,8409,763,0,0,0,0,0,0,0,69884,73562,9942,2,220,2051667,93301,13524,4921,1.6,30,105
